index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (অ্যাপল: স্ক্যাব),"অ্যাপল স্ক্যাব মিনেসোটাতে অ্যাপল এবং ক্র্যাব্যাপল গাছগুলির সর্বাধিক সাধারণ রোগ।
স্ক্যাব একটি ছত্রাকের কারণে ঘটে যা পাতা এবং ফল উভয়কেই সংক্রামিত করে।
স্ক্যাবি ফল প্রায়শই খাওয়ার জন্য অযোগ্য।
সংক্রামিত পাতায় জলপাই সবুজ থেকে বাদামী দাগ রয়েছে।
অনেক পাতার দাগযুক্ত পাতাগুলি হলুদ হয়ে যায় এবং তাড়াতাড়ি পড়ে যায়।
একটানা বহু বছর ঘটে তখন পাতার ক্ষতি গাছটিকে দুর্বল করে দেয়।
রোপণ রোগ প্রতিরোধী জাতগুলি স্ক্যাব পরিচালনা করার সর্বোত্তম উপায়।","সম্ভব হলে প্রতিরোধী জাতগুলি চয়ন করুন।
গাছের নীচে রেক এবং পরের বসন্তে আবারও রোগের চক্র শুরু করার জন্য উপলভ্য ছত্রাকের বীজগুলির সংখ্যা হ্রাস করার জন্য সংক্রামিত পাতাগুলি ধ্বংস করুন।
সন্ধ্যায় বা ভোরের সময় জল (ওভারহেড সেচ এড়িয়ে চলুন) সংক্রমণ হওয়ার আগে পাতাগুলি শুকানোর জন্য সময় দেওয়ার জন্য।
মাটির cover াকতে এবং ছত্রাকের বীজগুলির স্প্ল্যাশ ছড়িয়ে পড়া রোধ করতে, গাছের নীচে 3- 6 ইঞ্চি স্তরটি গাছের নীচে ছড়িয়ে দিন এবং এটি ট্রাঙ্ক থেকে দূরে রেখে দিন।
সেরা নিয়ন্ত্রণের জন্য, লক্ষণগুলি সাধারণত প্রদর্শিত হওয়ার দুই সপ্তাহ আগে তরল তামা সাবান স্প্রে করুন।বিকল্পভাবে, যখন রোগটি প্রথম উপস্থিত হয় তখন অ্যাপ্লিকেশনগুলি শুরু করুন এবং ব্লসম ড্রপ পর্যন্ত 7 থেকে 10 দিনের বিরতিতে পুনরাবৃত্তি করুন।",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (অ্যাপল: কালো পচা),"পাতার লক্ষণগুলি প্রথমে বসন্তের প্রথম দিকে ঘটে যখন পাতাগুলি উদ্ঘাটিত হয়।
এগুলি পাতাগুলির উপরের পৃষ্ঠের উপর ছোট, বেগুনি স্পেকস হিসাবে উপস্থিত হয় যা 1/8 থেকে 1/4 ইঞ্চি (3-6 মিমি) ব্যাসের বৃত্তাকার ক্ষতগুলিতে প্রসারিত হয়।
ক্ষতগুলির মার্জিন বেগুনি থেকে যায়, যখন কেন্দ্রটি ট্যানকে বাদামি করে তোলে।কয়েক সপ্তাহের মধ্যে, এই পাতার দাগগুলির গৌণ বৃদ্ধি ঘটে।
ভারী সংক্রামিত পাতা ক্লোরোটিক হয়ে যায় এবং ডিফোলিয়েশন ঘটে।
পচা অঞ্চলটি প্রসারিত হওয়ার সাথে সাথে, অভিন্ন প্রস্থের একটি ঘন ঘন ব্যান্ডগুলির একটি সিরিজ যা কালো থেকে বাদামী রঙের রঙে পরিবর্তিত হয়।পচা অঞ্চলের মাংস দৃ firm ় এবং চামড়া থেকে যায়।কালো পাইকনিডিয়া প্রায়শই সংক্রামিত ফলের পৃষ্ঠে দেখা যায়।","শেষের কমপক্ষে 15 ইঞ্চি নীচে ছাঁটাই করে ক্যানারগুলি সরান এবং তাদের পোড়া বা কবর দিন।এছাড়াও নতুন মরসুমের ছাঁটাইয়ের সাথে প্রতিরোধমূলক যত্ন নিন এবং এগুলি পোড়াও, আপনি সুপ্ত মৌসুমে ছাঁটাইয়ের চেয়ে ভাল।এটি ফায়ার ব্লাইট আপনার গাছকে সংক্রামিত করবে এবং এমন মৃত টিস্যু উত্পাদন করবে যা সহজেই বোট্রোসফেরিয়া দ্বারা সংক্রামিত হতে পারে you আপনি যদি ছালটি শিলাবৃষ্টি দ্বারা ক্ষতিগ্রস্থ হয় বা একটি বাতাসের ঝড়ের সময় শাখা ভেঙে যায় তবে আপনারও সতর্কতা অবলম্বন করা উচিত।তামা ভিত্তিক ছত্রাকনাশক ব্যবহার করা কালো পচা এবং আগুনের ব্লাইট উভয়ের বিরুদ্ধে রক্ষা করবে।",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (অ্যাপল: সিডার মরিচা),"সিডার অ্যাপল মরিচা (জিমনোস্পোরানগিয়াম জুনিপারি-ভার্জিনিয়ানা) একটি ছত্রাকজনিত রোগ যা জুনিপার গাছগুলিকে তার জটিল দুই বছরের জীবনচক্রটি সম্পূর্ণ করতে প্রয়োজন।বিভিন্ন জুনিপার প্রজাতির তরুণ ডালগুলিতে লালচে-বাদামী গল হিসাবে স্পোরস ওভারউইন্টার।বসন্তের প্রথম দিকে, ভেজা আবহাওয়ার সময়, এই গলগুলি ফুলে যায় এবং উজ্জ্বল কমলা রঙের বীজগুলি বাতাস দ্বারা প্রস্ফুটিত হয় যেখানে তারা সংবেদনশীল আপেল এবং কাঁকড়া-আপেল গাছগুলিকে সংক্রামিত করে।এই গাছগুলিতে যে বীজগুলি বিকাশ ঘটে সেগুলি কেবল পরের বছর জুনিপারগুলিকে সংক্রামিত করবে।বছরের পর বছর, এই রোগটি অবশ্যই জুনিপার থেকে আপেল থেকে জুনিপারগুলিতে যেতে হবে;এটি আপেল গাছের মধ্যে ছড়িয়ে দিতে পারে না।","যখন পাওয়া যায় তখন প্রতিরোধী চাষগুলি চয়ন করুন।
গাছের নীচে থেকে পতিত পাতা এবং অন্যান্য ধ্বংসাবশেষগুলি পুনরায় আপ করুন এবং নিষ্পত্তি করুন।
সংক্রামিত জুনিপারগুলি থেকে গলগুলি সরান।কিছু ক্ষেত্রে, জুনিপার গাছপালা পুরোপুরি সরানো উচিত।
জুনিপার হোস্টের দ্বারা প্রকাশিত বীজগুলি থেকে গাছগুলি রক্ষা করার জন্য, বুড ব্রেক দিয়ে শুরু করে সাপ্তাহিক আপেলগুলিতে ব্যবহারের জন্য লেবেলযুক্ত প্রতিরোধমূলক, রোগ-লড়াইয়ের ছত্রাকনাশকগুলি প্রয়োগ করুন।এটি প্রতি বছর কেবল একবার ঘটে, তাই এই বসন্তকালীন ছড়িয়ে পড়ার পরে অতিরিক্ত অ্যাপ্লিকেশনগুলির প্রয়োজন হয় না।
জুনিপারে, মরিচা একটি তামা দ্রবণ (0.5 থেকে 2.0 ওজ/ গ্যালন জলের) দিয়ে গাছপালা স্প্রে করে আগস্টের শেষের দিকে এবং অক্টোবরের শেষের দিকে কমপক্ষে চারবার নিয়ন্ত্রণ করা যায়।
নিরাপদে সেরেনেড বাগানের সাথে বেশিরভাগ ছত্রাক এবং ব্যাকটেরিয়া রোগের চিকিত্সা করুন।এই ব্রড স্পেকট্রাম বায়ো-ফুঙ্গাইডে জৈব ব্যবহারের জন্য নিবন্ধিত ব্যাসিলাস সাবটিলিসের পেটেন্টযুক্ত স্ট্রেন ব্যবহার করে।সর্বোপরি, সেরেনেড মধু মৌমাছি এবং উপকারী পোকামাকড়ের কাছে সম্পূর্ণ অ-বিষাক্ত।",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (অ্যাপল: স্বাস্থ্যকর),"বেশিরভাগ ফলের মতোই, পুরো রোদে জন্মানোর সময় আপেলগুলি সর্বোত্তমভাবে উত্পাদন করে, যার অর্থ প্রতিদিনের ছয় বা তার বেশি ঘন্টা সরাসরি গ্রীষ্মের সূর্যের দৈনিক op","আপেল পুষ্টিকর।
ওজন হ্রাসের জন্য আপেল ভাল হতে পারে।
আপেল আপনার হৃদয়ের জন্য ভাল হতে পারে।
এগুলি ডায়াবেটিসের কম ঝুঁকির সাথে যুক্ত।
তাদের প্রিবায়োটিক প্রভাব থাকতে পারে এবং ভাল অন্ত্র ব্যাকটিরিয়া প্রচার করতে পারে।
আপেলের পদার্থগুলি ক্যান্সার প্রতিরোধে সহায়তা করতে পারে।",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (পাতা ছাড়া পটভূমি),প্রদত্ত ছবিতে কোনও পাতা নেই,পাতা দিয়ে চিত্র পুনরায় আপলোড করুন,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (ব্লুবেরি: স্বাস্থ্যকর),"ব্লুবেরি ক্যালোরি কম তবে পুষ্টির পরিমাণ বেশি।...
ব্লুবেরি অ্যান্টিঅক্সিড্যান্ট খাবারের রাজা।...
ব্লুবেরি ডিএনএ ক্ষতি হ্রাস করে, যা বার্ধক্য এবং ক্যান্সারের বিরুদ্ধে রক্ষা করতে পারে।...
ব্লুবেরি আপনার রক্তে কোলেস্টেরলকে ক্ষতিগ্রস্থ হওয়ার হাত থেকে রক্ষা করে।...
ব্লুবেরি রক্তচাপ কমিয়ে দিতে পারে।","গভীর, নিম্ন পিএইচ মুলচ যেমন পিট শ্যাওলা, পাইন সূঁচ বা ভাল বয়স্ক কাঠবাদাম জল সংরক্ষণ করে এবং মাটির জলের ওঠানামা হ্রাস করে।দিনের বেলা জল ব্লুবেরি গাছপালা।মাটি আর্দ্র রাখুন তবে কুঁচকানো নয়।তাদের ক্রমবর্ধমান মরসুমে প্রতি সপ্তাহে কমপক্ষে 1 ""এবং ফলের পাকা করার সময় প্রতি সপ্তাহে 4"" দিন দিন Bulun ব্লুবেরি একটি অগভীর-মূলযুক্ত উদ্ভিদ।অতএব, এটির জন্য এমন একটি মাটি প্রয়োজন যা আর্দ্রতা ধারণ করে, তবে ভালভাবে ড্রেন করে এবং ভেজা থাকে না।ভারী, মাটির মাটি যা ভেজা থাকে সেগুলি ব্লুবেরি রোপণ করবেন না।",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (চেরি: গুঁড়ো জীবাণু),"প্রাথমিক লক্ষণগুলি, প্রায়শই প্রথম সেচ শুরুর 7 থেকে 10 দিন পরে ঘটে থাকে, হালকা মোটামুটি বৃত্তাকার, তরুণ, সংবেদনশীল পাতাগুলিতে (নতুনভাবে উদ্ঘাটিত এবং হালকা সবুজ প্রসারিত পাতা) উপর গুঁড়ো চেহারা প্যাচগুলি।পুরানো পাতাগুলি গুঁড়ো জীবাণুগুলির প্রতিরোধের একটি বয়স-সম্পর্কিত (অ্যাটোজেনিক) প্রতিরোধের বিকাশ করে এবং স্বাভাবিকভাবেই কম বয়সী পাতার চেয়ে সংক্রমণের বিরুদ্ধে প্রতিরোধী।রুট সাকার্স, ক্যানোপির অভ্যন্তর বা গাছের ক্রাচ যেখানে আর্দ্রতা বেশি থাকে সেখানে প্রাথমিক পাতার সংক্রমণ সন্ধান করুন।অন্যান্য ছত্রাকের বিপরীতে, গুঁড়ো জীবাণুগুলির অঙ্কুর করার জন্য বিনামূল্যে জলের প্রয়োজন হয় না তবে অঙ্কুরোদগম এবং ছত্রাকের বৃদ্ধি উচ্চ আর্দ্রতার দ্বারা অনুকূল হয়।এই রোগটি পাতাগুলির আন্ডারসাইডস (অ্যাব্যাক্সিয়াল) শুরু করার সম্ভাবনা বেশি থাকে তবে পরবর্তী পর্যায়ে উভয় পক্ষেই ঘটবে।মরসুমের অগ্রগতি এবং সংক্রমণ বাতাসের দ্বারা ছড়িয়ে পড়ার সাথে সাথে পাতাগুলি বিকৃত হয়ে উঠতে পারে, ward র্ধ্বমুখী হয়ে উঠতে পারে।গুরুতর সংক্রমণের ফলে পাতাগুলি পাকার এবং মোচড়ানোর কারণ হতে পারে।নতুন অঙ্কুরের উপর নতুন বিকাশযুক্ত পাতাগুলি ক্রমশ ছোট হয়ে যায়, প্রায়শই ফ্যাকাশে হয় এবং বিকৃত হতে পারে।","কাটিয়া প্রান্তগুলি জীবাণুমুক্ত করুন, তারপরে ছাঁটাই করুন এবং অবিলম্বে উদ্ভিদের অসুস্থ অংশগুলি বাতিল করুন।একই সময়ে, ফলের গাছের অবশিষ্ট পাতাগুলি রক্ষা করতে ছত্রাকনাশক প্রয়োগ করুন।পুরো মরসুমে গাছগুলি সুরক্ষার জন্য আপনাকে লেবেল নির্দেশাবলী অনুসারে ছত্রাকনাশক অ্যাপ্লিকেশনগুলির পুনরাবৃত্তি করতে হবে।",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (চেরি: স্বাস্থ্যকর),"টক এবং মিষ্টি চেরিগুলির মধ্যে যত্নের কোনও পার্থক্য নেই।
আর্দ্রতা ধরে রাখতে মুলচ প্রয়োগ করুন।
পাখি থেকে ফল রক্ষা করতে গাছের উপর জাল জাল।
শুকনো অঞ্চলে নিয়মিত জল।
চেরি গাছের জন্য ফলটি পাতলা করা প্রয়োজনীয় নয়, কারণ গ্রীষ্মের গোড়ার দিকে সাধারণত এগুলি প্রাকৃতিকভাবে পাতলা হয়।","পুষ্টির সাথে ভরা।
অ্যান্টিঅক্সিডেন্টস এবং অ্যান্টি-ইনফ্লেমেটরি যৌগগুলিতে সমৃদ্ধ।
অনুশীলন পুনরুদ্ধার বাড়াতে পারে।
হার্টের স্বাস্থ্যের উপকার করতে পারে।
বাত এবং গাউটের লক্ষণগুলি উন্নত করতে পারে।
ঘুমের মানের উন্নতি করতে পারে।
আপনার ডায়েটে যোগ করা সহজ।",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (কর্ন: সেরকোস্পোরা লিফ স্পট |ধূসর পাতার স্পট),"ছত্রাকের সেরকোস্পোরা জিয়া-মায়দিস দ্বারা সৃষ্ট ভুট্টার উপর ধূসর পাতার স্পট, যুক্তরাষ্ট্রে একটি পেরেনিয়াল এবং অর্থনৈতিকভাবে ক্ষতিকারক রোগ।১৯৯০ এর দশকের মাঝামাঝি থেকে, ইন্ডিয়ায় এই রোগটি গুরুত্ব বৃদ্ধি পেয়েছে এবং এখন রাজ্যের ভুট্টার অন্যতম গুরুত্বপূর্ণ রোগের রোগ।ফ্লোরিডায় সাধারণ ঘন ঘন উষ্ণ বর্ষার সময়গুলি এই ছত্রাকজনিত রোগের জন্য অনুকূল পরিস্থিতি তৈরি করে।এই ছত্রাকটি বাড়তে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে ধীরে","গভীরভাবে সেচ, কিন্তু খুব কম।
রোগটি সক্রিয় থাকাকালীন লনে উত্তর-পরবর্তী আগাছা কিলার ব্যবহার করা এড়িয়ে চলুন।
মাঝারি থেকে উচ্চ নাইট্রোজেন সারের মাত্রা এড়িয়ে চলুন।
লনে বায়ু সঞ্চালন এবং হালকা স্তর উন্নত করুন।
সঠিক উচ্চতায় কাঁচা এবং ঘাস শুকনো হলে কেবল কাঁচা।",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (কর্ন: সাধারণ মরিচা),"যদিও ক্রমবর্ধমান মরসুম জুড়ে কয়েকটি মরিচা পুস্টুলগুলি সর্বদা ভুট্টা ক্ষেত্রগুলিতে পাওয়া যায়, তবে লক্ষণগুলি সাধারণত ট্যাসেলিংয়ের পরে উপস্থিত হয় না।এগুলি খুব সহজেই অন্যান্য রোগ থেকে স্বীকৃত এবং আলাদা করা যায় অন্ধকার, লালচে-বাদামী পুস্টুলেস (উরেডিনিয়া) এর বিকাশের মাধ্যমে কর্ন পাতাগুলির উপরের এবং নীচের উভয় পৃষ্ঠের উপরে ছড়িয়ে ছিটিয়ে রয়েছে।এই পুস্টুলগুলি উদ্ভিদের উপরের যে কোনও স্থল অংশে উপস্থিত হতে পারে তবে পাতায় সর্বাধিক প্রচুর পরিমাণে রয়েছে।পাস্টুলগুলি আকারে দীর্ঘায়িত থেকে ডিম্বাকৃতি প্রদর্শিত হয়, সাধারণত ছোট হয়, 1/4 ইঞ্চি লম্বা এবং এটি পাতাগুলি এপিডার্মাল স্তর দ্বারা বেষ্টিত থাকে, যেখানে এটি ভেঙে গেছে।","কর্ন মরিচাগুলির প্রকোপগুলি হ্রাস করার জন্য, কেবল ভুট্টা রোপণ করুন যা ছত্রাকের প্রতিরোধের রয়েছে।প্রতিরোধের হয় জাতি-নির্দিষ্ট প্রতিরোধের বা আংশিক মরিচা প্রতিরোধের আকারে।উভয় ক্ষেত্রেই, কোনও মিষ্টি ভুট্টা সম্পূর্ণ প্রতিরোধী নয়।যদি ভুট্টা সংক্রমণের লক্ষণগুলি দেখাতে শুরু করে তবে তাত্ক্ষণিকভাবে ছত্রাকনাশক দিয়ে স্প্রে করুন।",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
