index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (सेब: स्कैब),"सेब स्कैब मिनेसोटा में सेब और क्रैबपल पेड़ों की सबसे आम बीमारी है।
स्कैब एक कवक के कारण होता है जो पत्तियों और फल दोनों को संक्रमित करता है।
स्कैबी फल अक्सर खाने के लिए अयोग्य होते हैं।
संक्रमित पत्तियों में जैतून हरे से भूरे रंग के धब्बे होते हैं।
कई पत्तों के धब्बे के साथ पत्ते पीले हो जाते हैं और जल्दी गिर जाते हैं।
पत्ती की हानि पेड़ को कमजोर करती है जब यह कई सालों में कई साल होता है।
रोपण रोग प्रतिरोधी किस्में स्कैब का प्रबंधन करने का सबसे अच्छा तरीका है।","जब संभव हो तो प्रतिरोधी किस्में चुनें।
पेड़ों के नीचे रेक करें और संक्रमित पत्तियों को नष्ट कर दें ताकि अगले वसंत में फिर से रोग चक्र शुरू करने के लिए उपलब्ध कवक बीजाणुओं की संख्या को कम किया जा सके।
शाम या सुबह के समय पानी (ओवरहेड सिंचाई से बचें) पत्तियों को संक्रमण होने से पहले सूखने का समय देने के लिए।
पेड़ों के नीचे खाद की 3- से 6 इंच की परत फैलाएं, इसे ट्रंक से दूर रखें, मिट्टी को ढंकने और फंगल बीजाणुओं के छींटे फैलाव को रोकने के लिए।
सर्वोत्तम नियंत्रण के लिए, सामान्य रूप से लक्षण दिखाई देने से दो सप्ताह पहले तरल तांबा साबुन स्प्रे करें।वैकल्पिक रूप से, जब बीमारी पहली बार दिखाई देती है, तो एप्लिकेशन शुरू करें, और ब्लॉसम ड्रॉप तक 7 से 10 दिन के अंतराल पर दोहराएं।",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (सेब: काला सड़ांध),"पत्ती के लक्षण पहले वसंत में जल्दी होते हैं जब पत्तियां सामने आती हैं।
वे पत्तियों की ऊपरी सतह पर छोटे, बैंगनी रंग के स्पेक के रूप में दिखाई देते हैं जो व्यास में 1/8 से 1/4 इंच (3-6 मिमी) परिपत्र घावों में बढ़ते हैं।
घावों का मार्जिन बैंगनी बना हुआ है, जबकि केंद्र तन को भूरे रंग में बदल देता है।कुछ हफ्तों में, इन पत्तों के धब्बों का द्वितीयक वृद्धि होती है।
भारी संक्रमित पत्तियां क्लोरोटिक बन जाती हैं और डिफोलिएशन होता है।
जैसा कि रॉटेड क्षेत्र बढ़ता है, एक समान चौड़ाई के रूप में संकेंद्रित बैंड की एक श्रृंखला जो काले से भूरे रंग के रंग में वैकल्पिक होती है।रॉटेड क्षेत्र का मांस फर्म और चमड़े की बनी हुई है।काले पाइकनिडिया को अक्सर संक्रमित फल की सतह पर देखा जाता है।","अंत से कम से कम 15 इंच नीचे छंटाई करके और उन्हें जलाकर या उन्हें दफना देकर नासूर निकालें।इसके अलावा नए सीज़न की छंटाई के साथ निवारक देखभाल करें और उन्हें भी जलाएं। आप निष्क्रिय मौसम के दौरान बेहतर हैं।यह उन बाधाओं को कम कर देगा जो आग ब्लाइट आपके पेड़ को संक्रमित करेगी और मृत ऊतक का उत्पादन करेगी जो आसानी से बोट्रोस्फेरिया द्वारा संक्रमित हो सकती है। आपको सावधानी बरतनी चाहिए कि अगर छाल ओलावृष्टि से क्षतिग्रस्त हो जाए, या एक हवा के दौरान शाखाएं टूट जाती हैं।एक तांबे-आधारित कवकनाशी का उपयोग करने से ब्लैक रोट और फायर ब्लाइट दोनों से बचा जाएगा।",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (सेब: देवदार जंग),"देवदार सेब रस्ट (जिम्नोस्पोरंगियम जुनिपेरी-विजिनियाना) एक कवक बीमारी है, जिसके लिए जुनिपर पौधों की आवश्यकता होती है ताकि इसके जटिल दो साल के जीवन-चक्र को पूरा किया जा सके।विभिन्न जुनिपर प्रजातियों के युवा टहनियाँ पर लाल-भूरे रंग की पित्त के रूप में अधिक बीजाणु।शुरुआती वसंत में, गीले मौसम के दौरान, ये गांठ सूजन और उज्ज्वल नारंगी द्रव्यमानों को हवा से उड़ा दिया जाता है जहां वे अतिसंवेदनशील सेब और केकड़े-सेब के पेड़ों को संक्रमित करते हैं।इन पेड़ों पर विकसित होने वाले बीजाणु केवल अगले वर्ष जुनिपर्स को संक्रमित करेंगे।साल -दर -साल, बीमारी को जुनिपर्स से सेब तक फिर से जुनिपर्स तक गुजरना चाहिए;यह सेब के पेड़ों के बीच नहीं फैल सकता है।","उपलब्ध होने पर प्रतिरोधी खेती चुनें।
पेड़ों के नीचे से गिरे हुए पत्तों और अन्य मलबे का निपटान करें।
संक्रमित जुनिपर्स से गैल्स निकालें।कुछ मामलों में, जुनिपर पौधों को पूरी तरह से हटाया जाना चाहिए।
जुनिपर होस्ट द्वारा जारी किए जा रहे बीजाणुओं से पेड़ों को बचाने के लिए, कली ब्रेक के साथ शुरू होने वाले सेब साप्ताहिक पर उपयोग के लिए लेबल किए गए निवारक, रोग से लड़ने वाली कवकनाशी को लागू करें।यह प्रति वर्ष केवल एक बार होता है, इसलिए इस वसंत के प्रसार के बाद अतिरिक्त आवेदन आवश्यक नहीं हैं।
जुनिपर पर, अगस्त के अंत और अक्टूबर के अंत के बीच कम से कम चार बार तांबे के घोल (0.5 से 2.0 औंस/ गैलन पानी) के साथ पौधों का छिड़काव करके जंग को नियंत्रित किया जा सकता है।
सुरक्षित रूप से सेरेनेड गार्डन के साथ अधिकांश फंगल और बैक्टीरिया की बीमारियों का इलाज करें।यह व्यापक स्पेक्ट्रम जैव-फंगिसाइड बेसिलस सबटिलिस के एक पेटेंट किए गए तनाव का उपयोग करता है जो कार्बनिक उपयोग के लिए पंजीकृत है।सबसे अच्छा, सेरेनेड पूरी तरह से शहद मधुमक्खियों और लाभकारी कीड़ों के लिए गैर-विषैले है।",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (सेब: स्वस्थ),"अधिकांश फल के साथ, सेब पूर्ण सूर्य में उगाए जाने पर सबसे अच्छा उत्पादन करते हैं, जिसका अर्थ है कि छह या अधिक घंटे सीधे गर्मियों के सूरज को दैनिक। सेब के लिए सबसे अच्छा जोखिम एक घर, पेड़ की रेखा, या दक्षिण के बजाय एक उत्तर की ओर है।","सेब पौष्टिक होते हैं।
वजन घटाने के लिए सेब अच्छा हो सकता है।
सेब आपके दिल के लिए अच्छा हो सकता है।
वे मधुमेह के कम जोखिम से जुड़े हैं।
उनके पास प्रीबायोटिक प्रभाव हो सकते हैं और अच्छे आंत बैक्टीरिया को बढ़ावा दे सकते हैं।
सेब में पदार्थ कैंसर को रोकने में मदद कर सकते हैं।",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (पत्तियों के बिना पृष्ठभूमि),दी गई छवि में कोई पत्ती नहीं है,कृपया पत्ती के साथ छवि को फिर से लोड करें,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (ब्लूबेरी: स्वस्थ),"ब्लूबेरी कैलोरी में कम हैं लेकिन पोषक तत्वों में उच्च हैं।...
ब्लूबेरी एंटीऑक्सिडेंट खाद्य पदार्थों के राजा हैं।...
ब्लूबेरी डीएनए की क्षति को कम करती है, जो उम्र बढ़ने और कैंसर से बचाने में मदद कर सकती है।...
ब्लूबेरी आपके रक्त में कोलेस्ट्रॉल को क्षतिग्रस्त होने से बचाता है।...
ब्लूबेरी रक्तचाप को कम कर सकती है।","पीट काई, पाइन सुइयों या अच्छी तरह से वृद्ध चूरा जैसे गहरी, कम पीएच गीली घास पानी का संरक्षण करती है और मिट्टी के पानी के उतार -चढ़ाव को कम करती है।दिन के दौरान पानी ब्लूबेरी के पौधे।मिट्टी को नम रखें, लेकिन नताली नहीं।फलों के पकने के दौरान उन्हें बढ़ते मौसम के दौरान कम से कम 1 ""प्रति सप्ताह और प्रति सप्ताह 4"" तक दें। ब्लूबेरी एक उथले-जड़ वाला पौधा है।इसलिए, इसके लिए एक मिट्टी की आवश्यकता होती है जो नमी रखती है, लेकिन अच्छी तरह से नालियाँ भी नहीं होती है और गीली नहीं रहती है।उन साइटों में ब्लूबेरी न करें जिनमें भारी, मिट्टी की मिट्टी है जो गीली रहती हैं।",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (चेरी: पाउडर फफूंदी),"प्रारंभिक लक्षण, अक्सर पहली सिंचाई की शुरुआत के 7 से 10 दिन बाद होते हैं, हल्के मोटे तौर पर सर्कुलर, युवा, अतिसंवेदनशील पत्तियों पर पाउडर दिखने वाले पैच होते हैं (नए अनफोल्डेड, और हल्के हरे रंग के विस्तार पत्तियों)।पुरानी पत्तियां पाउडर फफूंदी के लिए एक उम्र से संबंधित (ओटोजेनिक) प्रतिरोध विकसित करती हैं और स्वाभाविक रूप से छोटे पत्तों की तुलना में संक्रमण के लिए अधिक प्रतिरोधी होती हैं।जड़ चूसने वालों पर शुरुआती पत्ती के संक्रमण, चंदवा का इंटीरियर या पेड़ के क्रॉच जहां आर्द्रता अधिक है।अन्य कवक के विपरीत, पाउडर फफूंदी को अंकुरित करने के लिए मुक्त पानी की आवश्यकता नहीं होती है लेकिन अंकुरण और फंगल विकास उच्च आर्द्रता के पक्षधर होते हैं।यह बीमारी पत्तियों के अंडरसाइड्स (abaxial) पर आरंभ करने की अधिक संभावना है, लेकिन बाद के चरणों में दोनों तरफ होगा।जैसे -जैसे मौसम आगे बढ़ता है और संक्रमण हवा से फैलता है, पत्तियां विकृत हो सकती हैं, ऊपर की ओर कर्लिंग कर सकती हैं।गंभीर संक्रमण पकेर और मोड़ के लिए पत्तियों का कारण हो सकता है।नए शूट पर नए विकसित पत्ते उत्तरोत्तर छोटे हो जाते हैं, अक्सर पीला होते हैं और विकृत हो सकते हैं।","काटने के किनारों को कीटाणुरहित करें, फिर बाहर निकलें और संयंत्र के रोगग्रस्त हिस्सों को तुरंत छोड़ दें।उसी समय, फलों के पेड़ पर शेष पत्तियों की रक्षा के लिए कवकनाशी लगाएं।आपको पूरे मौसम में पेड़ों की सुरक्षा के लिए लेबल निर्देशों के अनुसार कवकनाशी अनुप्रयोगों को दोहराने की आवश्यकता होगी।",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (चेरी: स्वस्थ),"खट्टा और मीठे चेरी के बीच देखभाल में कोई अंतर नहीं है।
नमी बनाए रखने के लिए गीली घास लागू करें।
पक्षियों से फल की रक्षा करने के लिए पेड़ों पर जाल लगाना।
शुष्क क्षेत्रों में नियमित रूप से पानी।
चेरी के पेड़ों के लिए फल को पतला करना आवश्यक नहीं है, क्योंकि वे आमतौर पर गर्मियों की शुरुआत में स्वाभाविक रूप से पतले होते हैं।","पोषक तत्वों के साथ पैक किया गया।
एंटीऑक्सिडेंट और विरोधी भड़काऊ यौगिकों में समृद्ध।
व्यायाम की वसूली को बढ़ावा दे सकता है।
हार्ट हेल्थ को फायदा हो सकता है।
गठिया और गाउट के लक्षणों में सुधार हो सकता है।
नींद की गुणवत्ता में सुधार हो सकता है।
अपने आहार में जोड़ना आसान है।",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (मकई: Cercospora लीफ स्पॉट |ग्रे लीफ स्पॉट),"कॉर्न पर ग्रे लीफ स्पॉट, फंगस सेरकोसपोरा ज़ी-मयदिस के कारण, संयुक्त राज्य अमेरिका में एक पेरीन-नियाल और आर्थिक रूप से हानिकारक बीमारी है।1990 के दशक के मध्य से, यह बीमारी इंडियाना में महत्व में वृद्धि हुई है, और अब राज्य में मकई के सबसे महत्वपूर्ण पर्ण रोगों में से एक है ।ग्राई लीफ स्पॉट रोग फंगस पाइरिकुलरिया ग्रिसिया के कारण होता है, जिसे मैग्नापोरथ ग्रिसिया भी कहा जाता है।फ्लोरिडा में आम लगातार गर्म बारिश की अवधि इस फंगल बीमारी के लिए अनुकूल स्थिति पैदा करती है।यह कवक बढ़ता है, थिंस ने स्थापित किया है और सेंट के बड़े क्षेत्रों को मार सकता है","गहराई से सिंचाई करें, लेकिन बार -बार।
रोग के सक्रिय होने के दौरान लॉन पर पोस्ट-इमर्जेंट खरपतवार हत्यारों का उपयोग करने से बचें।
मध्यम से उच्च नाइट्रोजन उर्वरक के स्तर से बचें।
लॉन पर वायु परिसंचरण और प्रकाश स्तर में सुधार करें।
उचित ऊंचाई पर घास काटें और केवल घास सूखने पर माव करें।",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (मकई: आम जंग),"यद्यपि कुछ जंग पुस्ट्यूल हमेशा बढ़ते मौसम में मकई के खेतों में पाए जा सकते हैं, लेकिन लक्षण आमतौर पर टैसलिंग के बाद दिखाई नहीं देते हैं।इन्हें आसानी से पहचाना जा सकता है और अन्य बीमारियों से गहरे, लाल-भूरे रंग के पुस्ट्यूल्स (उडिनिया) के विकास से अन्य बीमारियों से अलग किया जा सकता है, जो मकई के पत्तों के ऊपरी और निचले दोनों सतहों पर बिखरे हुए हैं।ये pustules पौधे के किसी भी उपरोक्त जमीन के हिस्से पर दिखाई दे सकते हैं, लेकिन पत्तियों पर सबसे अधिक प्रचुर मात्रा में हैं।Pustules आकार में लम्बी होने के लिए अंडाकार दिखाई देते हैं, आम तौर पर छोटे होते हैं, 1/4 इंच से कम लंबे होते हैं, और पत्ती एपिडर्मल परत से घिरे होते हैं, जहां यह टूट गया है।","मकई की जंग की घटनाओं को कम करने के लिए, केवल मकई को पौधे लगाएं जिसमें कवक का प्रतिरोध होता है।प्रतिरोध या तो दौड़-विशिष्ट प्रतिरोध या आंशिक जंग प्रतिरोध के रूप में है।या तो मामले में, कोई भी स्वीट कॉर्न पूरी तरह से प्रतिरोधी नहीं है।यदि मकई संक्रमण के लक्षण दिखाने लगती है, तो तुरंत एक कवकनाशी के साथ स्प्रे करें।",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
