index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (ആപ്പിൾ: ചുണങ്ങു),"മിനസോട്ടയിലെ ആപ്പിളിന്റെയും ക്രബപ്പെപ്പുകളുടെയും ഏറ്റവും സാധാരണമായ രോഗമാണ് ആപ്പിൾ സ്കാബ്.
ഇലകളെയും പഴത്തെയും ബാധിക്കുന്ന ഒരു ഫംഗസാണ് ചുണങ്ങുന്നത്.
ഗ്യാബി ഫലം കഴിക്കാൻ പലപ്പോഴും യോഗ്യമല്ല.
രോഗം ബാധിച്ച ഇലകൾക്ക് ഒലിവ് പച്ചനിറമുണ്ട്.
പല ഇല പാടുകളുള്ള ഇലകളും മഞ്ഞനിറമാവുകയും നേരത്തെ വീഴുകയും ചെയ്യുന്നു.
ഒരു നിര തുടർച്ചയായി നിരവധി വർഷങ്ങൾ സംഭവിക്കുമ്പോൾ ഇല നഷ്ടം മരത്തെ ദുർബലപ്പെടുത്തുന്നു.
ചുണങ്ങു മാനേജുചെയ്യാനുള്ള ഏറ്റവും നല്ല മാർഗ്ഗം നടീൽ രോഗ പ്രതിരോധം.","സാധ്യമാകുമ്പോൾ പ്രതിരോധശേഷിയുള്ള ഇനങ്ങൾ തിരഞ്ഞെടുക്കുക.
വൃക്ഷങ്ങൾക്ക് കീഴിൽ റാക്ക് ചെയ്യുക, രോഗം വസന്തകാലം വീണ്ടും വീണ്ടും വിൽക്കാൻ ലഭ്യമായ ഫംഗസ് സ്വെോർസിന്റെ എണ്ണം കുറയ്ക്കുന്നതിന് ബാധിച്ച ഇലകൾ നശിപ്പിക്കുക.
വൈകുന്നേരം അല്ലെങ്കിൽ അതിരാവിലെ വെള്ളം (ഓവർഹെഡ് ഇറിഗേഷൻ ഒഴിവാക്കുക) അണുബാധ ഉണ്ടാകുന്നതിന് മുമ്പ് വരണ്ട സമയം വരെ.
മരങ്ങളിൽ 3- മുതൽ 6 ഇഞ്ച് വരെ കമ്പോസ്റ്റ് വ്യാപിപ്പിക്കുക, തുമ്പിക്കൈയിൽ നിന്ന് മാറുക, കുത്തലോടെ സ്പോറിയുകളുടെ സ്പ്ലാഷ് ഡിപ്രസൽ തടയുക.
മികച്ച നിയന്ത്രണം, സ്പ്രേ കോളിക് സോപ്പ്, ലക്ഷണങ്ങൾ സാധാരണയായി പ്രത്യക്ഷപ്പെടുന്നതിന് രണ്ടാഴ്ച മുമ്പ്.പകരമായി, രോഗം ആദ്യമായി പ്രത്യക്ഷപ്പെടുമ്പോൾ അപ്ലിക്കേഷനുകൾ ആരംഭിക്കുക, പൂത്തുള്ളി ഡ്രോപ്പ് വരെ 7 മുതൽ 10 ദിവസത്തെ ഇടവേളകളിൽ ആവർത്തിക്കുക.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (ആപ്പിൾ: കറുത്ത ചെംചീയൽ),"ഇലകൾ ചുരുളഴിയുമ്പോൾ വസന്തകാലത്ത് ലീഫ് ലക്ഷണങ്ങൾ ആദ്യം സംഭവിക്കുന്നു.
അവയുടെ മുകളിലെ ഉപരിതലത്തിൽ ചെറിയ, പർപ്പിൾ പുള്ളികളായി അവ പ്രത്യക്ഷപ്പെടുന്നു, വൃത്താകൃതിയിലുള്ള നിഖേദ് 1/8 1/4 ഇഞ്ച് (3-6 മില്ലീമീറ്റർ) വ്യാസമാക്കി മാറ്റുന്നു.
നിഖേദ്കളുടെ മാർജിൻ ധൂമ്രവസ്ത്രമാണ്, അതേസമയം കേന്ദ്രം ടാനെ തവിട്ടുനിറമാകും.ഏതാനും ആഴ്ചകൾക്കുള്ളിൽ, ഈ ഇല പാടുകളുടെ ദ്വിതീയ വർഗ്ഗങ്ങൾ സംഭവിക്കുന്നു.
കനത്ത രോഗം ബാധിച്ച ഇലകൾ ക്രൂരോട്ടിക് ആകും, അപകർഷത ഉണ്ടാകുന്നു.
ചീഞ്ഞ ഏരിയ വലുപ്പമെന്ന നിലയിൽ, ഒരു കൂട്ടം യൂണിഫോം വീതിയുള്ള രൂപത്തിലുള്ള കേന്ദ്രീകൃത ബാൻഡുകളുടെ ഒരു പരമ്പരചീഞ്ഞ സ്ഥലത്തിന്റെ മാംസം ഉറച്ചതും തുകൽ നിലയുമാണ്.കറുത്ത പൈക്നിഡിയ പലപ്പോഴും രോഗം ബാധിച്ച പഴത്തിന്റെ ഉപരിതലത്തിൽ കാണാം.","അവസാനത്തിന് താഴെയുള്ള 15 ഇഞ്ച് അരിവാൾ കൊണ്ട് കട്ട്ക്കറുകൾ നീക്കം ചെയ്യുക, അവയെ കത്തിക്കുകയോ അടക്കം ചെയ്യുകയോ ചെയ്യുക.പുതിയ സീസൺ പ്ലെയിംഗുകൾ ഉപയോഗിച്ച് പ്രതിരോധ പരിചരണം എടുക്കുക, അവ കത്തിക്കുക, to ചുങ്കലേക്ക്, പ്രവർത്തനരഹിതമായ സീസണിൽ നിങ്ങൾ അരിവാൾകൊണ്ടുണ്ടാക്കുന്നു.ഫയർ ബ്രെയിറ്റ് നിങ്ങളുടെ വൃക്ഷത്തെ ബാധിക്കുകയും ബോട്രിയോസ്ഫെയറിയയെ എളുപ്പത്തിൽ ബാധിക്കാൻ കഴിയുന്ന ചത്ത ടിഷ്യു ഉത്പാദിപ്പിക്കുകയും ചെയ്യും. കുരയ്ക്കലിന് കേടുപാടുകൾ സംഭവിച്ചാൽ, അല്ലെങ്കിൽ ഒരു കൊടുങ്കാറ്റിൽ ശാഖകൾ തകരാറിലായാൽ മുൻകരുതലുകളും എടുക്കണം.ചെമ്പ് അടിസ്ഥാനമാക്കിയുള്ള കുമിൾനാശിനി ഉപയോഗിച്ച് കറുപ്പ് ചെംചീയലും തീയുടെ വരയും ഉപയോഗിച്ച് സംരക്ഷിക്കും.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (ആപ്പിൾ: സിഡാർ റസ്റ്റി),"സിദാർ ആപ്പിൾ റസ്റ്റ് (ജിംപ്രൊറങ്കിയം ജൂലിപെരി-വിർജീറി-വിർജീരി-വിർജീറിയാന നിന്നാണ് ജുനൈപ്പർ സസ്യങ്ങൾ സങ്കീർണ്ണമായ രണ്ട് വർഷത്തെ ജീവിത ചക്രം പൂർത്തിയാക്കാൻ ആവശ്യമുള്ള ഒരു ഫംഗസ് രോഗമാണ്.വിവിധ ജുവാർ ഇനങ്ങളുടെ ഇളം ചില്ലകളിൽ ചുവപ്പ് കലർന്ന തവിട്ട് ക്യാച്ചറായി ഓവർവിന്റർ ഓവർവിന്റർ.വസന്തത്തിന്റെ തുടക്കത്തിൽ, നനഞ്ഞ കാലാവസ്ഥയിൽ, ഈ ഗാലുകൾ വീർക്കുന്നതും തിളക്കമുള്ളതുമായ വകലങ്ങൾ വീർക്കുന്നു, അവർ ആപ്പിൾ, ക്രാബ്-ആപ്പിൾ മരങ്ങൾ ബാധിക്കുന്നു.ഈ മരങ്ങൾക്കിടയിൽ വികസിക്കുന്ന സ്വരം അടുത്ത വർഷം ജുനൈപ്പർമാരെ ബാധിക്കും.വർഷം തോറും, ഈ രോഗം ജുനൈപ്പർമാരിൽ നിന്ന് കാൻപറുകളിലേക്ക് വീണ്ടും കടന്നുപോകണം;അതിന് ആപ്പിൾ മരങ്ങൾക്കിടയിൽ പടരുന്നതിന് കഴിയില്ല.","ലഭ്യമാകുമ്പോൾ പ്രതിരോധശേഷിയുള്ള കൃഷി തിരഞ്ഞെടുക്കുക.
വീണ ഇലകളും മറ്റ് അവശിഷ്ടങ്ങളും മരങ്ങളിൽ നിന്ന് നീക്കം ചെയ്യുക.
രോഗം ബാധിച്ച ജുനൈപ്പർമാരിൽ നിന്ന് ഗാലുകൾ നീക്കംചെയ്യുക.ചില സാഹചര്യങ്ങളിൽ, ജുനിപ്പർ സസ്യങ്ങൾ പൂർണ്ണമായും നീക്കം ചെയ്യണം.
ബഡ് ബ്രേക്ക് മുതൽ, മുകുള ഇടവേള മുതൽ, ജുനൈപ്പർ ഹോസ്റ്റ് പുറത്തിറങ്ങുന്നത് സ്വെർഡ്ലോവ്സ് ബാധിച്ച മരങ്ങളെ സംരക്ഷിക്കുന്നതിന് പ്രതിവാര പ്രതിവാര ഉപയോഗത്തിനായി ലേബൽ ചെയ്തിട്ടുള്ള പ്രതിവാര ആഴ്ചതോറും പ്രയോഗിക്കുക കുമിൾനാകുകൾ പ്രയോഗിക്കുക.ഇത് പ്രതിവർഷം ഒരിക്കൽ മാത്രം സംഭവിക്കുന്നു, അതിനാൽ ഈ വസന്തകാലത്ത് വ്യാപനത്തിന് ശേഷം അധിക അപേക്ഷകൾ ആവശ്യമില്ല.
ജൂനിപ്പർ, ഓഗസ്റ്റ് അവസാനം, ഒക്ടോബർ അവസാനം എന്നിവയ്ക്കിടയിലുള്ള ചെമ്പ് ലായനി (0.5 മുതൽ 2.0 യുകെ വരെ വെള്ളം വരെ) സസ്യങ്ങൾ തളിക്കുന്നതിലൂടെ തുരുമ്പിനെ നിയന്ത്രിക്കാൻ കഴിയും.
സെറനേഡ് ഗാർഡൻ ഉപയോഗിച്ച് ഏറ്റവും ഫംഗസ്, ബാക്ടീരിയ രോഗങ്ങൾ എന്നിവ സുരക്ഷിതമായി ചികിത്സിക്കുക.ബ്രോഡ് സ്പെക്ട്രം ബയോ-ഫ്യൂൺനാശിനി ജൈവ ഉപയോഗത്തിനായി രജിസ്റ്റർ ചെയ്ത ബാസിലസ് സബ്ട്ടിൽസ് പേറ്റന്റ് സമ്മർദ്ദം ഉപയോഗിക്കുന്നു.ഏറ്റവും മികച്ചത്, സെറിനേഡ് പൂർണ്ണമായും വിഷലിപ്തമല്ല തേനീച്ച, പ്രയോജനകരമായ പ്രാണികൾ.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (ആപ്പിൾ: ആരോഗ്യമുള്ള),"മുഴുവൻ സൂര്യനിൽയും പോലെ, മുഴുവൻ സൂര്യനിൽ വളരുമ്പോൾ ആപ്പിൾ മികച്ചത് ഉത്പാദിപ്പിക്കുന്നു, അതിനർത്ഥം നേരിട്ട് വേനൽക്കാല സൂര്യൻ, ഒരു വീട്, വൃക്ഷരേഖ, അല്ലെങ്കിൽ തെക്ക്.","ആപ്പിൾ പോഷകസമൃദ്ധമാണ്.
ശരീരഭാരം കുറയ്ക്കാൻ ആപ്പിൾ നല്ലതായിരിക്കാം.
ആപ്പിൾ നിങ്ങളുടെ ഹൃദയത്തിന് നല്ലതായിരിക്കാം.
അവ പ്രമേഹത്തിന്റെ കുറഞ്ഞ അപകടസാധ്യതയുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു.
അവർക്ക് പ്രീബയോട്ടിക് ഇഫക്റ്റുകൾ ഉണ്ടാകാം, നല്ല കുത്തൽ ബാക്ടീരിയകളെ പ്രോത്സാഹിപ്പിച്ചേക്കാം.
ആപ്പിളിലെ പദാർത്ഥങ്ങൾ കാൻസറിനെ തടയാൻ സഹായിക്കും.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (ഇലകളില്ലാത്ത പശ്ചാത്തലം),തന്നിരിക്കുന്ന ചിത്രത്തിൽ ഇല ഇല്ല,ഇമേജ് ഇല ഉപയോഗിച്ച് വീണ്ടും ലോഡുചെയ്യുക,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (ബ്ലൂബെറി: ആരോഗ്യമുള്ള),"കലോറിയിൽ ബ്ലൂബെറി കുറവാണ്, പക്ഷേ പോഷകങ്ങളിൽ ഉയർന്നതാണ്....
ആന്റിഓക്സിഡന്റ് ഭക്ഷണങ്ങളുടെ രാജാവാണ് ബ്ലൂബെറി....
ബ്ലൂബെറി ഡിഎൻഎ കേടുപാടുകൾ കുറയ്ക്കുന്നു, ഇത് വാർദ്ധക്യത്തിനും ക്യാൻസറിനും എതിരെ സംരക്ഷിക്കാൻ സഹായിക്കും....
ബ്ലൂബെറി നിങ്ങളുടെ രക്തത്തിൽ കൊളസ്ട്രോളിനെ പരിരക്ഷിക്കുന്നു....
ബ്ലൂബെറി രക്തസമ്മർദ്ദം കുറയ്ക്കാം.","ആഴത്തിലുള്ള, കുറഞ്ഞ പിഎച്ച് ചവറുകൾ, പൈൻ അരിഞ്ഞത്, പൈൻ സൂചികൾ അല്ലെങ്കിൽ നന്നായി പ്രായമായ മാത്രമാവില്ല വെള്ളം സംരക്ഷിക്കുകയും മണ്ണിന്റെ ജലശാസ്ത്രക്ഷമത കുറയ്ക്കുകയും ചെയ്യുന്നു.പകൽ സമയത്ത് വാട്ടർ ബ്ലൂബെറി സസ്യങ്ങൾ.മണ്ണ് നനവ് സൂക്ഷിക്കുക.ഫലവൃക്ഷത്തിൽ വളരുന്ന സീസണിൽ ആഴ്ചയിൽ 1 ""അല്ലെങ്കിൽ 4"" വരെ അവർക്ക് നൽകുക.അതിനാൽ, ഈർപ്പം പിടിക്കുന്ന ഒരു മണ്ണ് ആവശ്യമാണ്, മാത്രമല്ല നന്നായി അരിവാൾ ചെയ്യുകയും നനയുകയുമില്ല.കനത്തതും കളിമണ്ണിൽ നനഞ്ഞതുമായ സൈറ്റുകളിൽ ബ്ലൂബെറി നട്ടുപിടിപ്പിക്കരുത്.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (ചെറി: ടിന്നിന് വിഷമഞ്ഞു),"ആദ്യ ജലസേചനം ആരംഭിച്ച് 7 മുതൽ 10 ദിവസം വരെ സംഭവിക്കുന്ന പ്രാഥമിക ലക്ഷണങ്ങൾ, ഏകദേശം 7 മുതൽ 10 ദിവസം വരെ സംഭവിക്കുന്നു, ഇളം വൃത്താകൃതിയിലുള്ളതാണ്, ചെറുതായി, ഇരട്ട, സാധ്യതയുള്ള ഇലകൾ (പുതുതായി തുറന്ന, ഇളം പച്ച വിപുലമായ ഇലകൾ).പഴയ ഇലകൾ ടിന്നിന് വിഷമഞ്ഞു ചേർത്ത് പ്രായവുമായി ബന്ധപ്പെട്ട (ഒൻടോജെനിക്) പ്രതിരോധം വികസിപ്പിക്കുകയും പ്രായം കുറഞ്ഞ ഇലകളേക്കാൾ സ്വാഭാവികമായും കൂടുതൽ.റൂട്ട് സക്കറുകളിൽ ആദ്യകാല ഇല അണുബാധകൾ, മേലാപ്പ് അല്ലെങ്കിൽ ഈർപ്പം ഉയർന്നതാണ്, അവിടെ ഈ വൃക്ഷത്തിന്റെ ക്രോച്ച്.മറ്റ് ഫംഗസുമാർക്ക് വിപരീതമായി, ടിന്നിന് മിൽയർക്ക് മുളയ്ക്കുന്നതിന് സ്വതന്ത്രമായ വെള്ളം ആവശ്യമില്ല, പക്ഷേ മുളയ്ക്കുന്നതിനും ഫംഗസ് വളർച്ചയെയും ഉയർന്ന ഈർപ്പം വളരെ ഇഷ്ടമാണ്.ഇലകളുടെ അടിവശം (അബാക്സിയൽ), എന്നാൽ പിന്നീടുള്ള ഘട്ടങ്ങളിൽ ഇരുവശത്തും സംഭവിക്കും.സീസൺ പുരോഗമിക്കുമ്പോൾ അണുബാധ കാറ്റിൽ പരത്തുന്നു, ഇലകൾ വികലമായതാകാം, മുകളിലേക്ക് കേളിംഗ്.കടുത്ത അണുബാധകൾ ഇലകളിലേക്കും വളച്ചൊടിക്കുന്നതിലേക്കും ഇലകൾക്ക് കാരണമായേക്കാം.പുതിയ ചിനപ്പുപൊട്ടലിൽ പുതുതായി വികസിപ്പിച്ച ഇലകൾ ക്രമേണ ചെറുതായിത്തീരുന്നു, പലപ്പോഴും വിളറിയതാണ്, അവ വികലമായിരിക്കാം.","കട്ടിംഗ് അരികുകൾ അണുവിമുക്തമാക്കുക, എന്നിട്ട് ചെടിയുടെ രോഗമുള്ള ഭാഗങ്ങൾ ഉടനടി ഉപേക്ഷിക്കുക.അതേസമയം, ബാക്കിയുള്ള ഇലകൾ ഫലവൃക്ഷത്തിൽ സംരക്ഷിക്കുന്നതിന് കുമിൾനാശിനികൾ പ്രയോഗിക്കുക.സീസണിലെ മരങ്ങൾ സംരക്ഷിക്കുന്നതിനായി ലേബൽ നിർദ്ദേശങ്ങൾ അനുസരിച്ച് നിങ്ങൾ കുമിൾനാശിയിരുന്ന അപ്ലിക്കേഷനുകൾ ആവർത്തിക്കേണ്ടതുണ്ട്.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (ചെറി: ആരോഗ്യമുള്ള),"പുളിച്ച, മധുരമുള്ള ചെറികൾക്കിടയിൽ ശ്രദ്ധ കേന്ദ്രീകരിക്കുന്നില്ല.
ഈർപ്പം നിലനിർത്താൻ ചവറുകൾ പ്രയോഗിക്കുക.
പക്ഷികളിൽ നിന്ന് ഫലം സംരക്ഷിക്കാൻ മരങ്ങളുടെ മേൽ വലയ്ക്കുക.
വരണ്ട പ്രദേശങ്ങളിൽ പതിവായി വെള്ളം.
വേനൽക്കാലത്തിന്റെ തുടക്കത്തിൽ സ്വാഭാവികമായും നേർത്തതിനാൽ ചെറി മരങ്ങൾക്ക് കനം ആവശ്യമില്ല.","പോഷകങ്ങൾ ഉപയോഗിച്ച് പായ്ക്ക് ചെയ്തു.
ആന്റിഓക്സിഡന്റുകളും വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരവുമായി സമ്പന്നവുമാണ്.
വ്യായാമം വീണ്ടെടുക്കാൻ കഴിയും.
ഹാർട്ട് ഹെൽത്ത് പ്രയോജനപ്പെടുത്താം.
സന്ധിവാതത്തിന്റെ ലക്ഷണങ്ങളും സന്ധിവാതവും മെച്ചപ്പെടുത്താം.
ഉറക്കത്തിന്റെ ഗുണനിലവാരം മെച്ചപ്പെടുത്തിയേക്കാം.
നിങ്ങളുടെ ഭക്ഷണക്രമത്തിലേക്ക് ചേർക്കാൻ എളുപ്പമാണ്.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (ധാന്യം: സെർകോസ്പോറ ഇല പുള്ളി |ചാരനിറത്തിലുള്ള ഇല പുള്ളി),"ചാരനിറത്തിലുള്ള ഇല പുള്ളി, ഫംഗസ് സെർകോറ സീ-മെയ്ഡിസ് മൂലമുണ്ടായ പെൺഗസ് സെർകോറ സീ-മെയ്ഡിസ് കാരണം, അമേരിക്കൻ ഐക്യനാടുകളിൽ സാമ്പത്തികമായി നാശനഷ്ടമാണ്.1990 കളുടെ പകുതി മുതൽ, ഈ രോഗം ഇന്ത്യാനയിൽ പ്രാധാന്യമർഹിക്കുന്നു, ഇപ്പോൾ സംസ്ഥാനത്തെ ധാന്യത്തിലെ ഏറ്റവും പ്രധാനപ്പെട്ട രോഗങ്ങളിലൊന്നാണ്. ഗ്രീഫ് സ്പോട്ട് രോഗം ഫംഗസ് പൈറിഫ് സ്പോട്ട് രോഗം മൂലമാണ് ഫംഗസ് പൈറിഫിയ ഗ്രിസിയ കാരണം, ബങ്കാക്വെ ഗ്രിസിയ എന്നും അറിയപ്പെടുന്നു.ഫ്ലോറിഡയിൽ സാധാരണ പതിവ് warm ഷ്മള മഴ പെയ്ഘങ്ങൾ ഈ ഫംഗസ് രോഗത്തിന് അനുകൂലമായ അവസ്ഥകൾ സൃഷ്ടിക്കുക.ഈ ഫംഗസ് വളരുന്ന തോൽവിരൽ, സ്ഥാപിച്ച നിലകൾ നിലകൊള്ളുന്നു, ഒപ്പം സെന്റ്.","ആഴത്തിൽ ജലസേചനം നടത്തുക, പക്ഷേ വിരളമാണ്.
രോഗം സജീവമായിരിക്കുമ്പോൾ പുൽത്തകിടിയിൽ ഉയർന്നുവരുന്ന വാടകക്കായുള്ള കള കൊലയാളികൾ ഉപയോഗിക്കുന്നത് ഒഴിവാക്കുക.
ഉയർന്ന നൈട്രജൻ വളത്തിന്റെ അളവ് ഇടത്തരം ഒഴിവാക്കുക.
എയർ രക്തചംക്രമണം മെച്ചപ്പെടുത്തുക, പുൽത്തകിടിയിൽ ഇളം നിലവാരം.
പുല്ല് ഉണങ്ങുമ്പോൾ മാത്രം വെട്ടിമാറ്റി.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (ധാന്യം: സാധാരണ തുരുമ്പ്),"കുറച്ച് തുരുമ്പിന് എല്ലായ്പ്പോഴും ധാന്യം ഫീൽഡുകളിൽ കണ്ടെത്താനാകുമെങ്കിലും, വളരുന്ന സീസണിലുടനീളം രോഗലക്ഷണങ്ങൾ സാധാരണയായി പ്രത്യക്ഷപ്പെടുന്നതുവരെ ദൃശ്യമാകില്ല.ധാന്യം ഇലകളുടെ മുകളിലും താഴെയുമായി ചിതറിക്കിടക്കുന്നതും ചുവപ്പ് കലർന്ന തവിട്ട്-തവിട്ട് സ്തൂവ് (മൂരിനിയ) ഇവ എളുപ്പത്തിൽ തിരിച്ചറിഞ്ഞ് വേർതിരിച്ചറിയാൻ കഴിയും.ഈ സ്തൂപങ്ങൾ ചെടിയുടെ ഭാഗത്ത് നിന്ന് പ്രത്യക്ഷപ്പെടാം, പക്ഷേ ഇലകളിൽ ഏറ്റവും സമൃദ്ധമാണ്.നീളത്തിൽ നീളമേറിയത് ഓവൽ ദൃശ്യമാകുന്നത്, സാധാരണയായി ചെറുതും ചെറുതും 1/4 ഇഞ്ച് നീളവും, അത് തകർന്ന ഇല എപ്പിഡെർമൽ പാളികളുണ്ട്.","ധാന്യം തുരുമ്പെടുക്കുമ്പോൾ, ഫംഗസിനോട് പ്രതിരോധിക്കുന്ന ധാന്യം മാത്രം നടുക.പ്രതിരോധം ഒന്നുകിൽ റേസ് നിർദ്ദിഷ്ട പ്രതിരോധം അല്ലെങ്കിൽ ഭാഗിക തുരുമ്പ് പ്രതിരോധം.രണ്ടായാലും, മധുരമുള്ള ധാന്യം പൂർണ്ണമായും പ്രതിരോധിക്കുന്നില്ല.ധാന്യം അണുബാധയുടെ ലക്ഷണങ്ങൾ കാണിക്കാൻ തുടങ്ങുകയാണെങ്കിൽ, ഉടനടി കുമിൾനാശിനി ഉപയോഗിച്ച് തളിക്കുക.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
