index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (Apple पल: खरुज),"Apple पल स्कॅब हा मिनेसोटामधील सफरचंद आणि क्रॅबॅपल झाडांचा सर्वात सामान्य रोग आहे.
स्कॅब एक बुरशीमुळे होतो ज्यामुळे पाने आणि फळ दोन्ही संक्रमित होते.
स्कॅबी फळ बर्‍याचदा खाण्यासाठी अयोग्य असतात.
संक्रमित पानांमध्ये ऑलिव्ह ग्रीन ते तपकिरी डाग असतात.
बर्‍याच पानांच्या डागांसह पाने पिवळ्या होतात आणि लवकर पडतात.
जेव्हा सलग बरीच वर्षे पडतात तेव्हा पानांचे नुकसान हे कमकुवत होते.
रोग प्रतिरोधक वाण लागवड करणे हा स्कॅब व्यवस्थापित करण्याचा उत्तम मार्ग आहे.","शक्य असल्यास प्रतिरोधक वाण निवडा.
पुढच्या वसंत reach तूमध्ये पुन्हा रोगाचे चक्र सुरू करण्यासाठी उपलब्ध बुरशीजन्य बीजाणूंची संख्या कमी करण्यासाठी झाडांच्या खाली रॅक करा आणि संक्रमित पाने नष्ट करा.
संध्याकाळी किंवा पहाटेच्या वेळेस पाणी (ओव्हरहेड सिंचन टाळा) संक्रमण होण्यापूर्वी पानांना कोरडे होण्यास वेळ देण्यासाठी.
झाडाच्या खाली कंपोस्टचा 3- ते 6 इंचाचा थर पसरवा, तो खोडापासून दूर ठेवून, माती झाकण्यासाठी आणि बुरशीजन्य बीजाणूंच्या स्प्लॅश फैलाव टाळण्यासाठी.
उत्कृष्ट नियंत्रणासाठी, लक्षणे सामान्यपणे दिसून येण्यापूर्वी दोन आठवड्यांपूर्वी लिक्विड कॉपर साबण लवकर स्प्रे करा.वैकल्पिकरित्या, जेव्हा रोग प्रथम दिसतो तेव्हा अनुप्रयोग प्रारंभ करा आणि कळीच्या ड्रॉपपर्यंत 7 ते 10 दिवसांच्या अंतराने पुनरावृत्ती करा.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (Apple पल: ब्लॅक रॉट),"जेव्हा पाने उलगडत असतात तेव्हा पानांची लक्षणे प्रथम वसंत in तू मध्ये उद्भवतात.
ते पानांच्या वरच्या पृष्ठभागावर लहान, जांभळ्या चष्मा म्हणून दिसतात जे व्यासाच्या 1/8 ते 1/4 इंच (3-6 मिमी) गोलाकार जखमांमध्ये वाढतात.
जखमांचे मार्जिन जांभळे राहते, तर केंद्र टॅनला तपकिरीकडे वळते.काही आठवड्यांत, या पानांच्या स्पॉट्सचे दुय्यम वाढ होते.
जोरदार संक्रमित पाने क्लोरोटिक बनतात आणि डीफोलिएशन होते.
सडलेले क्षेत्र वाढत असताना, एकसमान रुंदीच्या फॉर्मच्या एकाग्र बँडची मालिका जी काळ्या ते तपकिरी रंगात पर्यायी आहे.सडलेल्या क्षेत्राचे मांस स्थिर आणि चामड्याचे राहते.काळा पायक्निडिया बर्‍याचदा संक्रमित फळांच्या पृष्ठभागावर दिसून येतो.",शेवटच्या खाली कमीतकमी 15 इंचाची छाटणी करून कॅन्कर्स काढा आणि त्यांना बर्न करा किंवा दफन करा.नवीन हंगामातील छाटणीसह प्रतिबंधात्मक काळजी घ्या आणि त्यांनाही जाळले. सुप्त हंगामात आपण छाटणी करण्यापेक्षा चांगले आहात.यामुळे अग्निचा त्रास आपल्या झाडाला संक्रमित करेल आणि मृत ऊतक तयार करेल ज्यामुळे बोट्रोस्फेरियामुळे सहज संक्रमित होऊ शकते. वा wind ्याच्या वादळात गारपिटीमुळे किंवा फांद्या तुटल्या तर आपण खबरदारी घ्यावी.तांबे-आधारित बुरशीनाशक वापरणे ब्लॅक रॉट आणि फायर ब्लाइट या दोहोंपासून संरक्षण करेल.,http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (Apple पल: देवदार गंज),"सिडर Apple पल रस्ट (जिम्नोस्पोरॅन्जियम जुनिपेरी-व्हर्जिनियाना) हा एक बुरशीजन्य रोग आहे ज्यास जुनिपर वनस्पतींना त्याचे दोन वर्षांचे जटिल जीवन-चक्र पूर्ण करणे आवश्यक आहे.वेगवेगळ्या जुनिपर प्रजातींच्या तरुण डहाळ्यांवरील लालसर-तपकिरी पित्त म्हणून बीजाणू ओव्हरविंटर.वसंत early तूच्या सुरुवातीस, ओल्या हवामानात, या गॉल्स फुगतात आणि बीजाणूंचे चमकदार केशरी जनता वा wind ्याने उडवले जाते जिथे ते संवेदनशील सफरचंद आणि खेकडाच्या सफरचंद झाडे संक्रमित करतात.या झाडांवर विकसित होणारे बीजाणू पुढील वर्षी फक्त जुनिपरला संक्रमित करतील.दरवर्षी वर्षानुवर्षे हा रोग जुनिपर्सपासून सफरचंदांपर्यंत पुन्हा ज्युनिपरपर्यंत जाणे आवश्यक आहे;हे सफरचंदच्या झाडांमध्ये पसरू शकत नाही.","उपलब्ध असताना प्रतिरोधक वाण निवडा.
रॅक अप करा आणि पडलेल्या पाने आणि इतर मोडतोड झाडाच्या खाली विल्हेवाट लावा.
संक्रमित जुनिपरमधून गॅल काढा.काही प्रकरणांमध्ये, जुनिपर वनस्पती संपूर्णपणे काढली पाहिजेत.
जुनिपर होस्टद्वारे सोडल्या जाणार्‍या बीजाणूंपासून झाडे वाचवण्यासाठी, सफरचंद साप्ताहिक वापरासाठी लेबल केलेले प्रतिबंधात्मक, रोग-लढाऊ बुरशीनाशक लागू करा.हे दर वर्षी एकदाच होते, म्हणून या वसंत time तूच्या प्रसारानंतर अतिरिक्त अनुप्रयोग आवश्यक नाहीत.
जुनिपरवर, ऑगस्टच्या उत्तरार्धात ते ऑक्टोबरच्या उत्तरार्धात कमीतकमी चार वेळा तांबे सोल्यूशन (0.5 ते 2.0 औंस/ गॅलन पाणी) सह वनस्पती फवारणीद्वारे गंज नियंत्रित केले जाऊ शकते.
सेरेनेड गार्डनसह बहुतेक बुरशीजन्य आणि बॅक्टेरियाच्या आजारांवर सुरक्षितपणे उपचार करा.हे ब्रॉड स्पेक्ट्रम बायो-फंगसाइड सेंद्रिय वापरासाठी नोंदणीकृत बॅसिलस सबटिलिसचा पेटंट स्ट्रेन वापरते.सर्वांत उत्तम म्हणजे, सेरेनेड मधमाश्या आणि फायदेशीर कीटकांसाठी पूर्णपणे विषारी नसतात.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (Apple पल: निरोगी),"बहुतेक फळांप्रमाणेच, सफरचंद पूर्ण उन्हात वाढवताना उत्कृष्ट उत्पादन करतात, ज्याचा अर्थ दररोज थेट उन्हाळ्याच्या उन्हात सहा किंवा त्यापेक्षा जास्त तास असतात. सफरचंदांसाठी सर्वोत्तम प्रदर्शन म्हणजे घराची उत्तरेकडील बाजू, झाडाची रेषा किंवा दक्षिणेऐवजी उठणे. अॅपल वृक्षांना चांगल्या प्रकारे निचरा झालेल्या मातीची आवश्यकता असते, परंतु काही ओलावा टिकवून ठेवण्यास सक्षम असावे.","सफरचंद पौष्टिक आहेत.
वजन कमी करण्यासाठी सफरचंद चांगले असू शकतात.
सफरचंद आपल्या हृदयासाठी चांगले असू शकते.
ते मधुमेहाच्या कमी जोखमीशी जोडलेले आहेत.
त्यांच्यात प्रीबायोटिक प्रभाव असू शकतात आणि चांगल्या आतडे बॅक्टेरियांना प्रोत्साहन देतात.
सफरचंदातील पदार्थ कर्करोगास प्रतिबंधित करू शकतात.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (पानांशिवाय पार्श्वभूमी),दिलेल्या प्रतिमेमध्ये कोणतीही पाने नाही,कृपया पानांसह प्रतिमा पुन्हा अपलोड करा,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (ब्लूबेरी: निरोगी),"ब्लूबेरी कॅलरीमध्ये कमी असतात परंतु पोषकद्रव्ये जास्त असतात....
ब्लूबेरी अँटिऑक्सिडेंट फूड्सचा राजा आहेत....
ब्लूबेरी डीएनए नुकसान कमी करतात, जे वृद्धत्व आणि कर्करोगापासून संरक्षण करण्यास मदत करू शकतात....
ब्लूबेरी आपल्या रक्तातील कोलेस्ट्रॉलचे नुकसान होण्यापासून संरक्षण करतात....
ब्लूबेरीमुळे रक्तदाब कमी होऊ शकतो.","पीट मॉस, पाइन सुया किंवा चांगल्या वृद्ध भूसा सारख्या खोल, कमी पीएच गवताचे पाणी पाण्याचे संवर्धन करते आणि मातीच्या पाण्याचे चढ -उतार कमी करते.दिवसा वॉटर ब्लूबेरी वनस्पती.माती ओलसर ठेवा परंतु धूसर नाही.फळ पिकण्याच्या दरम्यान त्यांना दर आठवड्याला कमीतकमी 1 ""आणि दर आठवड्याला 4 पर्यंत द्या. ब्लूबेरी एक उथळ-रुजलेली वनस्पती आहे.म्हणूनच, त्यासाठी एक माती आवश्यक आहे ज्यामध्ये ओलावा आहे, परंतु चांगले निचरा होतो आणि ओले राहत नाही.ओले राहिलेल्या, क्लेये माती असलेल्या साइटवर ब्लूबेरी लावू नका.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (चेरी: पावडर बुरशी),"सुरुवातीच्या लक्षणे, बहुतेकदा पहिल्या सिंचनाच्या प्रारंभानंतर 7 ते 10 दिवसांनंतर, तरूण, संवेदनाक्षम पानांवर (नव्याने उलगडलेली आणि हलकी हिरव्या विस्तारणारी पाने) हलकी-ओरख्य, पावडर दिसणारे पॅचेस हलके असतात.जुन्या पाने पावडर बुरशीसाठी वय-संबंधित (ओन्टोजेनिक) प्रतिकार विकसित करतात आणि तरुण पानांपेक्षा नैसर्गिकरित्या संसर्गास प्रतिरोधक असतात.रूट शोकर, छतचे आतील भाग किंवा आर्द्रता जास्त असलेल्या झाडाच्या क्रॉचवर लवकर पानांचे संक्रमण पहा.इतर बुरशीच्या उलट, पावडर बुरशींना उगवण करण्यासाठी मुक्त पाण्याची आवश्यकता नसते परंतु उगवण आणि बुरशीजन्य वाढ उच्च आर्द्रतेद्वारे अनुकूल आहे.हा रोग पानांच्या अंडरसाइड (अबॅक्सियल) वर सुरू होण्याची शक्यता आहे परंतु नंतरच्या टप्प्यावर दोन्ही बाजूंनी उद्भवू शकेल.हंगाम जसजसा वाढत जातो आणि संसर्ग वा wind ्याने पसरतो तसतसे पाने विकृत होऊ शकतात, वरच्या दिशेने कर्लिंग करतात.गंभीर संक्रमणामुळे पाने आणि पिळणे होऊ शकते.नवीन शूटवरील नवीन विकसित पाने क्रमिकपणे लहान होतात, बहुतेकदा फिकट गुलाबी असतात आणि विकृत होऊ शकतात.","कटिंग कडा निर्जंतुकीकरण करा, नंतर रोपांची छाटणी करा आणि वनस्पतीच्या रोगग्रस्त भागांना त्वरित टाकून द्या.त्याच वेळी, फळांच्या झाडावरील उर्वरित पानांचे संरक्षण करण्यासाठी बुरशीनाशक लागू करा.संपूर्ण हंगामात झाडांचे संरक्षण करण्यासाठी आपल्याला लेबलच्या सूचनांनुसार बुरशीनाशक अनुप्रयोगांची पुनरावृत्ती करणे आवश्यक आहे.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (चेरी: निरोगी),"आंबट आणि गोड चेरी यांच्यात काळजीत फरक नाही.
ओलावा टिकवून ठेवण्यासाठी गवत वापरा.
पक्ष्यांपासून फळांचे रक्षण करण्यासाठी झाडांवर जाळे बनवा.
कोरड्या भागात नियमितपणे पाणी.
चेरीच्या झाडासाठी फळ पातळ करणे आवश्यक नाही, कारण ते सामान्यत: उन्हाळ्याच्या सुरुवातीच्या काळात नैसर्गिकरित्या पातळ करतात.","पोषक तत्वांनी भरलेले.
अँटीऑक्सिडेंट्स आणि अँटी-इंफ्लेमेटरी यौगिक समृद्ध.
व्यायामाची पुनर्प्राप्ती वाढवू शकते.
हृदयाच्या आरोग्यास फायदा होऊ शकतो.
संधिवात आणि संधिरोगाची लक्षणे सुधारू शकतात.
झोपेची गुणवत्ता सुधारू शकते.
आपल्या आहारात जोडणे सोपे आहे.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (कॉर्न: cercospora लीफ स्पॉट |राखाडी पानांचे ठिकाण),"कॉर्नोस्पोरा झे-मेयडिस या बुरशीमुळे होणार्‍या कॉर्नवर राखाडी पानांचे स्पॉट हा अमेरिकेत एक पेरनियल आणि आर्थिकदृष्ट्या हानीकारक रोग आहे.१ 1990 1990 ० च्या दशकाच्या मध्यापासून, इंडियानामध्ये या आजाराचे महत्त्व वाढले आहे आणि आता राज्यातील कॉर्नचा सर्वात महत्वाचा पर्णासंबंधी रोग आहे. ग्रे लीफ स्पॉट रोग बुरशीच्या पायरिक्युलरिया ग्रिसामुळे होतो, ज्याला मॅग्नापोर्थ ग्रिसिया देखील म्हटले जाते.फ्लोरिडामध्ये सामान्य वारंवार पावसाळ्याचा कालावधी या बुरशीजन्य रोगासाठी अनुकूल परिस्थिती निर्माण करतो.हे बुरशीचे वाढते, थांबा स्थापित केलेल्या स्टँड आणि सेंटच्या मोठ्या भागात मारू शकतात.","खोलवर सिंचन करा, परंतु क्वचितच.
हा रोग सक्रिय असताना लॉनवर उदयोन्मुख तण किलर वापरणे टाळा.
मध्यम ते उच्च नायट्रोजन खताची पातळी टाळा.
लॉनवर हवेचे अभिसरण आणि प्रकाश पातळी सुधारित करा.
योग्य उंचीवर घासणे आणि गवत कोरडे असेल तेव्हाच घासणे.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (कॉर्न: सामान्य गंज),"जरी वाढत्या हंगामात काही गंज पुस्ट्यूल नेहमीच कॉर्न फील्डमध्ये आढळू शकतात, परंतु साधारणत: लक्षणे टासेलिंगपर्यंत दिसून येत नाहीत.कॉर्नच्या पानांच्या वरच्या आणि खालच्या दोन्ही पृष्ठभागावर विखुरलेल्या गडद, ​​लालसर-तपकिरी पुस्ट्यूल्स (उरेडिनिया) च्या विकासाद्वारे हे सहजपणे ओळखले जाऊ शकते आणि इतर रोगांपासून वेगळे केले जाऊ शकते.हे पुस्ट्यूल्स वनस्पतीच्या वरील कोणत्याही भागावर दिसू शकतात, परंतु पानांवर ते मुबलक असतात.पुस्ट्यूल्स अंडाकृती आकाराच्या आकारात दिसतात, सामान्यत: लहान असतात, 1/4 इंचापेक्षा कमी लांब असतात आणि पानांच्या एपिडर्मल लेयरने वेढलेले असतात, जिथे ते तुटलेले आहे.","कॉर्न रस्टची घटना कमी करण्यासाठी, फक्त बुरशीचा प्रतिकार असलेल्या कॉर्नची लागवड करा.प्रतिकार एकतर वंश-विशिष्ट प्रतिकार किंवा आंशिक गंज प्रतिकार स्वरूपात आहे.दोन्ही बाबतीत, कोणतेही गोड कॉर्न पूर्णपणे प्रतिरोधक नाही.जर कॉर्न संसर्गाची लक्षणे दर्शवू लागला तर त्वरित बुरशीनाशकासह फवारणी करा.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
