index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (ଆପଲ୍: ସ୍କାବ୍ |),"ମିନେସୋଟା ରେ ଆପଲ୍ ସ୍କାବ୍ ହେଉଛି ଆପଲ୍ ଏବଂ କ୍ରାବଲ୍ ଗଛର ସବୁଠାରୁ ସାଧାରଣ ରୋଗ |
ସ୍କାବ ଏକ କବକ ଦ୍ୱାରା ହୋଇଥାଏ ଯାହା ଉଭୟ ପତ୍ର ଏବଂ ଫଳକୁ ସଂକ୍ରମିତ କରେ |
ସ୍କାବି ଫଳ ଖାଇବା ପାଇଁ ପ୍ରାୟତ un ଅପୂରଣ ହୁଏ |
ସଂକ୍ରମିତ ପତ୍ରରେ ବାଦାମୀ ଦାଗ ପାଇଁ ଅଲିଭ୍ ସବୁଜ ଅଛି |
ଅନେକ ପତ୍ରର ଦାଗ ସହିତ ପତ୍ର ହଳଦିଆ ହୋଇଯାଏ ଏବଂ ଶୀଘ୍ର ଖସିଯାଏ |
ପତ୍ରର ଅନେକ ବର୍ଷ ଘଣ୍ଟାର ଅନେକ ବର୍ଷ ଘଟେ ଚ ples ୍ଚ ଗଛକୁ ଦୁର୍ବଳ କରେ |
ରୋଗ ନିରନ୍ତର କିସମୋଷ୍ଟ କିସମ ସ୍କାବ ପରିଚାଳନା କରିବାର ସର୍ବୋତ୍ତମ ଉପାୟ |","ସମ୍ଭବ ହେଲେ ପ୍ରତିରୋଧକ କିସମ ବାଛନ୍ତୁ |
ଗଛ ତଳେ ରେକ୍ ସଂକ୍ରମିତ ପତ୍ରକୁ ପୁଣି ପରବର୍ତ୍ତୀ ବସନ୍ତର ଚକ୍ର ଆରମ୍ଭ କରିବାକୁ ଉପଲବ୍ଧ ଫଙ୍ଗାଲ୍ ସ୍ପୋର ସଂଖ୍ୟା ହ୍ରାସ କରିବାକୁ |
ସଂକ୍ରମଣର ସମୟକୁ ଶୁଖିବା ପାଇଁ (ଓଭରହେଡ୍ ସମୟକୁ ଶୁଖିବା ପାଇଁ ଶୁଷ୍କ ସମୟକୁ ଶୁଖିବା ପାଇଁ ଜଳିବା ପାଇଁ ଜଳିବା କିମ୍ବା ପ୍ରସାରଣର ସମୟ |
ଚୋରକୁ ଘୋଡାଇବା ପାଇଁ, ଗଛ ତଳେ ଥିବା ଗଛ ତଳେ ଏକ 3- ରୁ 6-ଇଞ୍ଚ ସ୍ତର ବିସ୍ତାର କରନ୍ତୁ ଏବଂ ଫଙ୍ଗଲ୍ ସ୍ପୋରଗୁଡିକର ସ୍ପ୍ଲେସ୍ ବିସ୍ତାରକୁ ରୋକନ୍ତୁ |
ସର୍ବୋତ୍ତମ ନିୟନ୍ତ୍ରଣ ପାଇଁ, ତରଳ ତମ୍ବା ସ୍ଲୋପ୍ ଶୀଘ୍ର, ଲକ୍ଷଣ ପୂର୍ବରୁ ଦୁଇ ସପ୍ତାହ ପୂର୍ବରୁ ଦେଖାଯାଏ |ବ ly କଳ୍ପିକ ଭାବରେ, ରୋଗ ପ୍ରଥମେ ଦେଖାଯାଏ, ଏବଂ 7 ରୁ 10 ଦିନ 7 ରୁ 10 ଦିନ ବ୍ୟବଧାନରେ ଫୁଲ ଫୁଟିବା |",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (ଆପଲ୍: କଳା ପୋକ |),"ପତ୍ରଗୁଡ଼ିକ ଖୋଲିବା ପରେ ପତ୍ରର ପ୍ରାରମ୍ଭରେ ପତ୍ର ଲକ୍ଷଣ ପ୍ରଥମେ ଘଟେ |
ସେଗୁଡ଼ିକ ଛୋଟ, ବାଇଗଣୀ ରଙ୍ଗର ଉପର ପୃଷ୍ଠରେ ଦେଖାଯାଏ ଯାହା ବୃତ୍ତାକାର କ୍ଷତରେ 1/8 ରୁ 1/4 ଇଞ୍ଚ (3-6 ମିମ) ବ୍ୟାସ |
କ୍ଷତର ମାର୍ଜିନ୍ ବାଇଗଣୀ ରଙ୍ଗର ରହିଆସିଛି, ଯେତେବେଳେ କେନ୍ଦ୍ର ଟାନକୁ ବାଦାମୀ ହୋଇଯାଏ |କିଛି ସପ୍ତାହ ମଧ୍ୟରେ, ଏହି ପତ୍ରର ଦଳର ଦଳର ବିସ୍ତାର ହୁଏ |
ଅତ୍ୟଧିକ ସଂକ୍ରମିତ ପତ୍ରଗୁଡ଼ିକ କ୍ଲୋରୋଟିକ୍ ଏବଂ ଡିଫୋନାମା ହୋଇଯାଏ |
ଯେହେତୁ ଘୂର୍ଣ୍ଣିତ କ୍ଷେତ୍ର ଜଡିତ ହୁଏ, ୟୁନିଫର୍ମ ମୋଟେଇ ର ଏକ ସୁଯୋଗ ବ୍ୟାଣ୍ଡ ଯାହା କଳାଠାରୁ ବାଦାମୀ ରଙ୍ଗରେ ବିକଳ୍ପ ହୁଏ |ପତଳା ଅଞ୍ଚଳର ମାଂସ ଦୃ firm ଏବଂ ଚମଡା ରହିଥାଏ |ସଂକ୍ରମିତ ଫଳର ପୃଷ୍ଠରେ ବ୍ଲାକ୍ ପାଇକ୍ନିଡିଆ ପ୍ରାୟତ। ଦେଖାଯାଏ |","ଶେଷକୁ ଅତି କମରେ 15 ଇଞ୍ଚ ତଳେ ଛେଦନ କରି ବାନ୍ଧିବା ଏବଂ ପୋଡି ଦେବା ଦ୍ୱାରା କ୍ୟାନର୍ସ ବାହାର କରନ୍ତୁ |ନୂତନ season ତୁ ଛତୁ ସହିତ ପ୍ରତିରୋଧୀ ଯତ୍ନ ମଧ୍ୟ ନିଅନ୍ତୁ ଏବଂ ସେମାନଙ୍କୁ ପୋଡି ଦିଅନ୍ତୁ, ମଧ୍ୟ ସୁପ୍ତ season ତୁରେ ଛେଦନ କରିବା ଭଲ |ଏହା ତୁମର ଗଛକୁ ସଂକ୍ରମିତ କରି ମୃତ ଟିସୁକୁ କମ୍ କରିବ ଯାହା ବଟ୍ରିଟୋଫେଫେରିଆ ଦ୍ୱାରା ସହଜରେ ସଂକ୍ରମିତ ହୋଇପାରେ - କୁଆପଥର ଦେଇ କ୍ଷତିଗ୍ରସ୍ତ ହୋଇପାରେ ଯଦି ବାର୍କ କୁଆପଥର ଦେଇପାରେ, କିମ୍ବା ପବନ ସମୟରେ ନଷ୍ଟ ହୋଇଯାଆନ୍ତି ତେବେ ସତର୍କତା ମଧ୍ୟ ରଙ୍ଗ ଦିଅନ୍ତୁ |ଏକ ତମ୍ବା ଭିତ୍ତିକ ଫଳିକାଇଡ୍ ବ୍ୟବହାର କରି ଉଭୟ କଳା ପୋକ ଏବଂ ଅଗ୍ନି ଶୁକ୍ରମୂଳରୁ ରକ୍ଷା କରିବ |",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (ଆପଲ୍: କେଦାର କଳଙ୍କ |),"କେଦାର ଆପଲ୍ କଳଙ୍କ (ଜିମ୍ନୋସାପୋରାଙ୍ଗିୟମ୍ ଜୁନିସି-କୁମାରୀ) ହେଉଛି ଏକ ଫଙ୍ଗାଲ୍ ରୋଗ ଯାହାକି ଏହାର ଜଟିଳ ଉଦ୍ଭିଦକୁ ଏହାର ଜଟିଳ ଦୁଇ ବର୍ଷର ଜୀବନ-ଚକ୍ର ସଂପୂର୍ଣ୍ଣ କରିବା ପାଇଁ ଜୁନିଅର ଉଦ୍ଭିଦ ଆବଶ୍ୟକ କରେ |ବିଭିନ୍ନ ଜୁନିପର ପ୍ରଜାତିର ଯୁବକ ଡାଳରେ ଲାଲ ରଙ୍ଗର-ବାଦାମୀ ଗଲ୍ ଭାବରେ ଓଭରୱାଇନ୍-ବାଦାମୀ ଗଲ୍ ଭାବରେ |ପ୍ରାରମ୍ଭିକ ବସନ୍ତରେ, ଓଦା ପାଣିପାଗ ସମୟରେ, ଏହି ପୋଷାକଗୁଡ଼ିକ ସଜାଗବିନୀ ଆପଲ୍ ଏବଂ କ୍ରାବ୍-ଆପଲ୍ ଗଛକୁ ସଂକ୍ରାମକ କରିଥାଏ |ଏହି ବୃକ୍ଷଗୁଡ଼ିକ ଉପରେ ବିକାଶ କରୁଥିବା ସ୍ପୋରଗୁଡିକ କେବଳ ପରବର୍ତ୍ତୀ ବର୍ଷରେ ଜୁନିପିରମାନଙ୍କୁ ସଂକ୍ରମିତ କରିବ |ବର୍ଷକୁ ବର୍ଷ ସେ ବର୍ଷକୁ ପୁଣି ଜୁନିପିର୍ସରୁ ଚପଲ କରିବା ଆବଶ୍ୟକ;ଏହା ଆପଲ୍ ଗଛ ମଧ୍ୟରେ ବ୍ୟାପିପାରେ ନାହିଁ |","ଉପଲବ୍ଧ ସମୟରେ ପ୍ରତିରୋଧକ ଚାଷପତ୍ର ବାଛନ୍ତୁ |
ଚାଉଳ ଏବଂ ପତିତ ପତ୍ରକୁ ଗଛ ଏବଂ ଅନ୍ୟ ଆବର୍ଜନାରେ ପକାନ୍ତୁ |
ସଂକ୍ରମିତ ଜୁନିପେର୍ସରୁ ଗଲ୍ କା off ର ଦିଅ |କେତେକ କ୍ଷେତ୍ରରେ, ଜୁନିପର ଉଦ୍ଭିଦଗୁଡିକ ସଂପୂର୍ଣ୍ଣ ଭାବରେ ହଟାଇବା ଉଚିତ୍ |
ପ୍ରତିଷେଧକ, ରୋଗୀ ଭାଙ୍ଗିବା, ସ୍ପୋରସ୍ ଠାରୁ ଗଛଗୁଡିକୁ ସୁରକ୍ଷା କରିବା ପାଇଁ ସ୍ପ୍ରେ ବ୍ରେକ୍ ସହିତ ଷ୍ଟ୍ରେପ୍ ସହିତ ଷ୍ଟ୍ରେପ୍ ର ସୁରକ୍ଷା ପାଇଁ ନାମିତ ରୋଗ-ଯୁଦ୍ଧ ଯନ୍ତ୍ରପାତି ଲଗାନ୍ତୁ, ଏହି ଗଛର ସୁରକ୍ଷା ରକ୍ଷା କରିବା ପାଇଁ ଜୁନିଅର ହୋଷ୍ଟ ଦ୍ୱାରା ମୁକ୍ତ ହେବା ପାଇଁ |ଏହା ପ୍ରତିବର୍ଷ ଥରେ ଘଟିଥାଏ, ଏହି ସ୍ପ୍ରିଟମେଟ୍ ଷ୍ଟ୍ରାଷ୍ଟ୍ ପରେ ଏତେ ଅତିରିକ୍ତ ପ୍ରୟୋଗଗୁଡ଼ିକ ଆବଶ୍ୟକ ନୁହେଁ |
ଜୁନିପର ଉପରେ, କଳଙ୍କ ଏକ ତମ୍ବା କ୍ଳାନ୍ତ ସମାଧାନ (0.5 ରୁ 2.0 ଓଜ୍ / ଗ୍ୟାଲନ୍ ଜଳ ସହିତ) ଅଗଷ୍ଟ ଏବଂ ଶେଷ ପର୍ଯ୍ୟନ୍ତ |
ସେନେରେନାଡ୍ ବଗିଚାରେ ସୁରକ୍ଷିତ ଏବଂ ଜୀବାଣୁ ରୋଗକୁ ସୁରକ୍ଷିତ ଭାବରେ ବ୍ୟବହାର କରନ୍ତୁ |ଏହି ବିସ୍ତୃତ ସ୍ପେକ୍ଟ୍ରମ୍ ବାୟୋ-ଫଙ୍ଗିଟି ଜ organic ବିକ ବ୍ୟବହାର ପାଇଁ ପଞ୍ଜୀକୃତ ବେକିଲସ୍ ସବଟିଲାଇସର ଏକ ପ୍ରୋନିଲ୍ ଷ୍ଟ୍ରିନ୍ରେ ଏକ ପ୍ରୋନେଡ୍ ଷ୍ଟ୍ରିନସ୍ ବ୍ୟବହାର କରେ |ସମସ୍ତ ମଧ୍ୟରୁ ସର୍ବୋତ୍ତମ, ସେରେନାଡ ହନି ମହୁମାଛି ଏବଂ ଲାଭଦାୟକ କୀଟପତଙ୍ଗ ପାଇଁ ସମ୍ପୂର୍ଣ୍ଣ ଅଣ-ବିଷାକ୍ତ ପଦାର୍ଥ |",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (ଆପଲ୍: ସୁସ୍ଥ |),"ଯେହେତୁ ଅଧିକାଂଶ ଫଳ, ଆପଲ୍ ପୁରା ସୂର୍ଯ୍ୟଙ୍କ ସହିତ ବ grown ଼ିବ, ତେବେ କେଉଁ ଅର୍ଥ ହେଉଛି ଏକ ଘର, ଗଛର ଧାଡ଼ି, କିମ୍ବା କିଛି ଆର୍ଙ୍କ ଅପେକ୍ଷା ବୃଦ୍ଧି ଆବଶ୍ୟକ, କିନ୍ତୁ କିଛି ଆର୍ଙ୍କ ଅପେକ୍ଷା ବୃଦ୍ଧି ଆବଶ୍ୟକ |","ଚପଲଗୁଡ଼ିକ ପୁଷ୍ଟିକର |
ଓଜନ ହ୍ରାସ ପାଇଁ ଚପଲ ଭଲ ହୋଇପାରେ |
ଆପଲ୍ ଆପଣଙ୍କ ହୃଦୟ ପାଇଁ ଭଲ ହୋଇପାରେ |
ସେମାନେ ମଧୁମେହର କମ୍ ବିପଦ ସହିତ ସଂଯୁକ୍ତ |
ସେମାନଙ୍କର ପ୍ରିପିଓସିୟିକ୍ ପ୍ରଭାବ ପଡିପାରେ ଏବଂ ଭଲ ଗୁଟ୍ ଜୀବାଣୁକୁ ପ୍ରୋତ୍ସାହିତ କରିପାରେ |
ଆପଲରେ ଥିବା ପଦାର୍ଥଗୁଡିକ କର୍କଟକୁ ରୋକିବାରେ ସାହାଯ୍ୟ କରିପାରେ |",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (ପତ୍ର ବିନା ପୃଷ୍ଠଭୂମି |),ପ୍ରଦତ୍ତ ପ୍ରତିଛବିରେ କ f ଣସି ପତ୍ର ନାହିଁ |,ଦୟାକରି ପତ୍ର ସହିତ ପ୍ରତିଛବି ପୁନ up ଲୋଡ୍ କରନ୍ତୁ |,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (ବ୍ଲୁବେରି: ସୁସ୍ଥ |),"ବ୍ଲୁବେରିମାନେ କ୍ୟାଲୋରୀରେ କମ୍ କିନ୍ତୁ ପୋଷକ ପୋଷଣରେ ଅଧିକ |...
ବ୍ଲୁବେରି ହେଉଛି ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ ଫୁଡର ରାଜା |...
ବ୍ଲୁବେରି ଡ୍ନା ନଷ୍ଟକୁ ହ୍ରାସ କରେ, ଯାହା ବାର୍ଦ୍ଧକ୍ୟ ଏବଂ କର୍କଟ ବିରୁଦ୍ଧରେ ରକ୍ଷା କରିବାରେ ସାହାଯ୍ୟ କରିପାରେ |...
ବ୍ଲୁବେରିମାନେ ତୁମର ରକ୍ତକୁ କ୍ଷତିଗ୍ରସ୍ତ ହେବା ଠାରୁ କ୍ଷତିଗ୍ରସ୍ତ ଭାବରେ ସୁରକ୍ଷା କରନ୍ତି |...
ବ୍ଲୁବେରି ରକ୍ତଚାପ ହ୍ରାସ କରିପାରେ |","ଗଭୀର, ନିମ୍ନ PH MES, ପାଇନ୍ ଆବଶ୍ୟକତା, କଦଳୀ ଛୁଞ୍ଚି କିମ୍ବା ଭଲ ବୟସ୍କା ବୁଦା ଆବଣ୍ଟନ ଜଳର ସମ୍ମୁଖୀନ ହୁଏ ଏବଂ ମୃତ୍ତିକା ଜଳ ପରିବର୍ତ୍ତନକୁ କମ୍ କରିଥାଏ |ଦିନରେ ଜଳ ବ୍ଲୁବେରି ଉଦ୍ଭିଦ |ମାଟି ଆର୍ଦ୍ର ରୁହନ୍ତୁ କିନ୍ତୁ ଦୁର୍ଗୀ ନୁହେଁ |ବ growing ଼ିବା season ତୁ ଏବଂ 4 ""ରୁ 4"" ପର୍ଯ୍ୟନ୍ତ ବ growing ୁଥିବା season ତୁ ଏବଂ 4 ""ରୁ 4"" ପର୍ଯ୍ୟନ୍ତ ସେଠାକୁ ଦିଅନ୍ତୁ | ବ୍ଲୁବେରି ଏକ ଅସ୍ଥାୟୀ-ମୂଳ ଉଦ୍ଭିଦ |ତେଣୁ, ଏହା ଏକ ମାଟି ଆବଶ୍ୟକ କରେ ଯାହା ଆର୍ଦ୍ରତା ଧାରଣ କରେ, କିନ୍ତୁ ଭଲ ଖାଇଲା ଏବଂ ଓଦା କରେ ନାହିଁ |ସାଇଟରେ ବ୍ଲୁବେରୀ ଲଗାନ୍ତୁ ନାହିଁ ଯାହାର ଭାରୀ, ମାଟି ମୃତ୍ତିକା ଯାହା ଓଦା ରହନ୍ତି |",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (ଚେରି: ପାଉଡର ମୃଦୁ |),"ପ୍ରାରମ୍ଭିକ ଲକ୍ଷଣ, ପ୍ରାୟତ ornightions ପ୍ରାୟ 7 ରୁ 10 ଦିନ ପରେ ଆଲୋକିତ ଭାବରେ ସଫଳ ହୁଏ, ଲାଇଟ୍ ପ୍ରାୟ ସତ୍ତ୍, ୟଙ୍ଗ, ସଂକଳ୍ପବଦ୍ଧ ପତ୍ର (ନୂତନ ଉଦ୍ଧୃତ୍ୱ ବିସ୍ତାର ପତ୍ର) |ବୟସ୍କ ପତ୍ରଗୁଡିକ ପାଉଡର ମୃଦୁକୁ ଏକ ବୟସ ସମ୍ବନ୍ଧୀୟ (ଅନଗେଡେଣ୍ଟିକ୍) ପ୍ରତିରୋଧକ ବିକାଶ ଏବଂ ଶ୍ୱର ପତ୍ର ଅପେକ୍ଷା ପ୍ରାକୃତିକ ଭାବରେ ଅଧିକ ପ୍ରତିରୋଧକ ଅଟେ |ମୂଳ ଶୋଷକମାନଙ୍କ ଉପରେ, ମୂଳ ଶୋଷଣର ମୂଳ ଶୋଷିବା, ବୃକ୍ଷର ଭିତର ଅଂଶ ଯେଉଁଠାରେ ହତାଶତା ଅଧିକ ଅଟେ |ଅନ୍ୟ କବକକୁ ବିପରୀତରେ, ପାଉଡର ମୃଦୁକୁ ବ and ନ୍ତି ପାଇଁ ମାଗଣା ଜଳ ଆବଶ୍ୟକ କରେ ନାହିଁ କିନ୍ତୁ ଉଚ୍ଚ ଆର୍ଦ୍ରତା ଦ୍ୱାରା ଅର୍ଦ୍ଧତା ଏବଂ ଫଙ୍ଗାଲ୍ ଅଭିବୃଦ୍ଧିକୁ ପସନ୍ଦ କରାଯାଏ |ପତ୍ରର ତଳ ଭାଗରେ (ଆବର୍ଜନାଲ୍) ଏବଂ ପରବର୍ତ୍ତୀ ପର୍ଯ୍ୟାୟରେ ଉଭୟ ପାର୍ଶ୍ୱରେ ଥିବା ଏହି ରୋଗ ଆରମ୍ଭ ହେବାର ସମ୍ଭାବନା ଅଧିକ |Stys ତୁ ଅଗ୍ରଗତି ଏବଂ ସଂକ୍ରମଣ ପବରେ ବିସ୍ତାର ହୁଏ, ଯେହେତୁ ପତ୍ରଗୁଡିକ ବିକୃତ ହୋଇପାରନ୍ତି, ବିସ୍ତାର ହୁଏ |ଭୟଙ୍କର ସଂକ୍ରମଣ ପତ୍ରକୁ ପକେଟର ଏବଂ ମୋଡ଼ରେ ପରିଣତ କରିପାରେ |ନୂତନ ଗୁଣ୍ଡରେ ନୂତନ ବିକାଶ ପତ୍ର ଧୀରେ ଧୀରେ ଛୋଟ ହୋଇଯାଏ, ପ୍ରାୟତ pa ଫିକା ହୋଇଯାଏ ଏବଂ ବିକୃତ ହୋଇପାରେ |","କଟିଙ୍ଗ୍ ଧାରକୁ ଡିଜାଇନ୍ କରନ୍ତୁ, ତାପରେ ତୁରନ୍ତ ଉଦ୍ଭିଦର ରୋଗଗ୍ରସ୍ତ ଅଂଶଗୁଡ଼ିକୁ ଛେଦନ ଏବଂ ପରିତ୍ୟାଗ କରନ୍ତୁ |ସେହି ସମୟରେ, ଅବଶିଷ୍ଟ ପତ୍ରକୁ ଫଳ ଗଛ ଉପରେ ସୁରକ୍ଷା ଦେବା ପାଇଁ ଫଙ୍ଗିସାଇଣ୍ଡ ପ୍ରୟୋଗ କରନ୍ତୁ |ସମଗ୍ର season ତୁରେ ଗଛଗୁଡ଼ିକୁ ସୁରକ୍ଷା ଦେବା ପାଇଁ ଲେବଲ୍ ନିର୍ଦ୍ଦେଶ ଅନୁଯାୟୀ ଆପଣଙ୍କୁ ଫଙ୍ଗିଟିଡ୍ ପ୍ରୟୋଗଗୁଡ଼ିକୁ ପୁନରାବୃତ୍ତି କରିବାକୁ ପଡିବ |",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (ଚେରି: ସୁସ୍ଥ |),"ଖଟା ଏବଂ ମିଠା ଚେରି ମଧ୍ୟରେ ଯତ୍ନ ନେବାରେ କ difference ଣସି ପାର୍ଥକ୍ୟ ନାହିଁ |
ଆର୍ଦ୍ରତା ବଜାୟ ରଖିବା ପାଇଁ ମଲଚ ପ୍ରୟୋଗ କରନ୍ତୁ |
ପକ୍ଷୀମାନଙ୍କଠାରୁ ଫଳ ରକ୍ଷା କରିବା ପାଇଁ ଗଛ ଉପରେ ଜାଲ ପକାନ୍ତୁ |
ଶୁଖିଲା ଅଞ୍ଚଳରେ ନିୟମିତ ଜଳ |
ଚେରି ଗଛଗୁଡିକ ପାଇଁ ଫଳର ପତଳା ନୁହେଁ, ଯେହେତୁ ସେମାନେ ସାଧାରଣତ the ଗ୍ରୀଷ୍ମ in ତୁରେ ସ୍ୱାଭାବିକ ଭାବରେ ପତଳା |","ପୁଷ୍ଟିକର ସହିତ ପ୍ୟାକ୍ ହୋଇଛି |
ଆଣ୍ଟିଅକ୍ସିଡାଡେସ୍ ଏବଂ ଆଣ୍ଟି-ପ୍ରଦାହଜନକ ଯ ounds ଗିକରେ ରିଲିଜ୍ |
ବ୍ୟାୟାମ ପୁନରୁଦ୍ଧାରକୁ ବୃଦ୍ଧି କରିପାରିବ |
ହୃଦୟ ସ୍ୱାସ୍ଥ୍ୟ ଉପକୃତ ହୋଇପାରେ |
ଆର୍ଥ୍ରାଇଟିସ୍ ଏବଂ ଗୁଟ୍ ର ଲକ୍ଷଣଗୁଡିକ ଉନ୍ନତି କରିପାରେ |
ଶୋଇବା ଗୁଣରେ ଉନ୍ନତି ହୋଇପାରେ |
ତୁମର ଡାଏଟରେ ଯୋଗ କରିବା ସହଜ |",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (ମକା: ସିରେକୋଟା ପତ୍ର ସ୍ପଟ୍ |ଧୂସର ପତ୍ର ସ୍ପଟ୍ |),"ମକା ଉପରେ ଧୂସର ପତ୍ର ସ୍ପଟ୍, ଫଙ୍ଗସ୍ ସିରକୋସପୋରୋ ଜିଓ ମଇଡାଇସ୍ ଦ୍ caused ାରା ହୋଇଛି, ଏହା ଏକ ଦିନସାରା ଏବଂ ଆର୍ଥିକ ଦୃଷ୍ଟିରୁ କ୍ଷତିକାରକ ରୋଗରେ ଆକ୍ରାନ୍ତ ହେଉଛି |1990 ମିଡ଼ିବା ପରଠାରୁ ଭାରତନାରେ ଏହି ରୋଗ ବୃଦ୍ଧି ପାଇଛି, ଏବଂ ବର୍ତ୍ତମାନ ରାଜ୍ୟ ଲେଫ୍ ସ୍ପଟ୍ ରୋଗ ଫୁଲିଥିବା ପିସିଫ୍ ସ୍ପଟ୍ ରୋଗ ଦ୍ found ାରା ତରଫର ପିର୍ରିକୁଲାର ଗାଇସିଆର ସମତଳ ହୋଇଥାଏ,ଫ୍ଲୋରିଡା ରେ ବାରମ୍ବାର ଗରମ ବର୍ଷା ଅବଧି ଏହି ଫଙ୍ଗାଲ୍ ରୋଗ ପାଇଁ ଅନୁକୂଳ ଅବସ୍ଥା ସୃଷ୍ଟି କରେ |ଏହି କବକ ବ grow େ, ଶ mens େ ଶ men େ ଶ med ଳୀ ସ୍ଥାପିତ ହୋଇ ଷ୍ଟାଣ୍ଡକୁ ମାରିପାରେ |","ଗଭୀର ଭାବରେ ଜଳସେଚନ କର, କିନ୍ତୁ ବାରମ୍ବାର |
ଏହି ରୋଗ ସକ୍ରିୟ ଥିବାବେଳେ ଲନ୍ ରେ ପୋଷ୍ଟ-ଏମାଇଟ-ଏମାଇଟ-ରସେଣ୍ଟ୍ ତୃଣକମାନଙ୍କୁ ବ୍ୟବହାର କରିବା ଠାରୁ ଦୂରେଇ ରୁହନ୍ତୁ |
ଉଚ୍ଚ ନିଟ୍ରୋଗେନେଞ୍ଜର ସାର ସ୍ତରରୁ ମଧ୍ୟମରୁ ଦୂରେଇ ରୁହନ୍ତୁ |
ବାୟୁ ପ୍ରଚାର ଏବଂ ଲନ୍ ଉପରେ ହାଲୁକା ସ୍ତରରେ ଉନ୍ନତି କର |
ଉପଯୁକ୍ତ ଉଚ୍ଚତାରେ କାଟିବା ଏବଂ ଘାସ ଶୁଖିଗଲେ କେବଳ କାଟନ୍ତୁ |",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (କର୍ନ୍: ସାଧାରଣ କଳଙ୍କ |),"ଯଦିଓ କିଛି କଳଙ୍କିତ ଅଷ୍ଟମଗୁଡ଼ିକ ସର୍ବଦା ବ growing ୁଥିବା season ତୁରେ ମକା ଫିଲ୍ଡରେ ମିଳିପାରିବ, ଲକ୍ଷଣ ସାଧାରଣତ tas ତୁନା ପଛରେ ଦେଖାଯାଏ ନାହିଁ |ଏହା ସହଜରେ ଅନ୍ଧକାର, ଲାଲ ରଙ୍ଗର-ବାଦାମୀ ପୁଷ୍ଟୁଲ୍ସ (ୟୁରେଡିନିଆ) ମକା ପତ୍ରର ଉପର ଏବଂ ତଳ ପୃଷ୍ଠଗୁଡ଼ିକ ଉପରେ ବିଛାଯାଇପାରିବ |ଏହି ପୁଷ୍ଟିକଗୁଡ଼ିକ ଉଦ୍ଭିଦର ଉପର ଭିତ୍ତି ଅଂଶ ଉପରେ ଦେଖାଯାଏ, କିନ୍ତୁ ପତ୍ରରେ ଅଧିକ ପ୍ରଚୁର ଅଟେ |ପୁଷ୍ଟୁଲ୍ସ ଆକୃତିରେ ବିସ୍ତାର କରିବାକୁ ଓଭାଲ୍ ଦେଖାଯାଏ, ସାଧାରଣତ small ଛୋଟ, 1/4 ଇଞ୍ଚ ଲମ୍ବରୁ କମ୍, ଏବଂ ପତ୍ର ଏପିଡର୍ମର୍ମାଲ୍ ଲେଭର୍ ଦ୍ୱାରା ଘେରି ରହିଥାଏ, ଯେଉଁଠାରେ ଏହା ଭାଙ୍ଗି ଯାଇଛି |","ମକା କଳଙ୍କର ଘଟଣା ହ୍ରାସ କରିବାକୁ, କେବଳ ମକା ଉଦ୍ଭିଦ ଯାହା ଫଙ୍ଗସ୍ ପାଇଁ ପ୍ରତିରୋଧ ଅଛି |ପ୍ରତିରୋଧଗୁଡିକ ଜାତି ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରତିରୋଧ କିମ୍ବା ଆଂଶିକ କଳଙ୍କ ପ୍ରତିରୋଧ ଆକାରରେ |ଉଭୟ କ୍ଷେତ୍ରରେ, କ mark ଣସି ମିଠା ମକା ସଂପୂର୍ଣ୍ଣ ପ୍ରତିରୋଧକାରୀ ନୁହେଁ |ଯଦି ମକା ସଂକ୍ରମଣର ଲକ୍ଷଣ ଦେଖାଇବା ଆରମ୍ଭ କରେ, ତେବେ ତୁରନ୍ତ ଏକ ଫଙ୍ଗିଟିଡ୍ ସହିତ ସ୍ପ୍ରେ ସ୍ପ୍ରେ |",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
