index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (ஆப்பிள்: ஸ்கேப்),"ஆப்பிள் ஸ்கேப் என்பது மினசோட்டாவில் ஆப்பிள் மற்றும் நண்டு மரங்களின் மிகவும் பொதுவான நோயாகும்.
இலைகள் மற்றும் பழங்கள் இரண்டையும் பாதிக்கும் ஒரு பூஞ்சையால் ஸ்கேப் ஏற்படுகிறது.
ஸ்கேபி பழம் பெரும்பாலும் சாப்பிடுவதற்கு தகுதியற்றது.
பாதிக்கப்பட்ட இலைகளில் ஆலிவ் பச்சை முதல் பழுப்பு நிற புள்ளிகள் உள்ளன.
பல இலை புள்ளிகளைக் கொண்ட இலைகள் மஞ்சள் நிறமாக மாறி ஆரம்பத்தில் விழுகின்றன.
இலை இழப்பு மரத்தை தொடர்ச்சியாக பல ஆண்டுகள் நிகழும்போது பலவீனப்படுத்துகிறது.
நடவு நோய் எதிர்ப்பு வகைகள் ஸ்கேப்பை நிர்வகிக்க சிறந்த வழியாகும்.","முடிந்தவரை எதிர்ப்பு வகைகளைத் தேர்வுசெய்க.
அடுத்த வசந்த காலத்தில் மீண்டும் நோய் சுழற்சியைத் தொடங்க கிடைக்கக்கூடிய பூஞ்சை வித்திகளின் எண்ணிக்கையைக் குறைக்க மரங்களின் கீழ் ரேக் செய்து பாதிக்கப்பட்ட இலைகளை அழிக்கவும்.
நோய்த்தொற்று ஏற்படுவதற்கு முன்பு இலைகளுக்கு வெளியேற நேரம் கொடுக்க மாலை அல்லது அதிகாலையில் நீர் (மேல்நிலை நீர்ப்பாசனத்தைத் தவிர்க்கவும்).
மரங்களின் கீழ் 3 முதல் 6 அங்குல அடுக்கு உரம் பரப்பி, அதை உடற்பகுதியில் இருந்து விலக்கி வைக்கவும், மண்ணை மறைக்கவும், பூஞ்சை வித்திகளின் ஸ்பிளாஸ் சிதறலைத் தடுக்கவும்.
சிறந்த கட்டுப்பாட்டிற்கு, அறிகுறிகள் பொதுவாக தோன்றுவதற்கு இரண்டு வாரங்களுக்கு முன்பு, திரவ செப்பு சோப்பை ஆரம்பத்தில் தெளிக்கவும்.மாற்றாக, நோய் முதலில் தோன்றும்போது பயன்பாடுகளைத் தொடங்குங்கள், மேலும் 7 முதல் 10 நாள் இடைவெளியில் மலரும் வீழ்ச்சி வரை மீண்டும் செய்யவும்.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (ஆப்பிள்: கருப்பு அழுகல்),"இலைகள் வெளிவரும் போது வசந்த காலத்தின் ஆரம்பத்தில் இலை அறிகுறிகள் நிகழ்கின்றன.
அவை இலைகளின் மேல் மேற்பரப்பில் சிறிய, ஊதா நிற புள்ளிகளாக 1/8 முதல் 1/4 அங்குல (3-6 மிமீ) விட்டம் கொண்ட வட்ட புண்களாக விரிவடைகின்றன.
புண்களின் விளிம்பு ஊதா நிறமாக உள்ளது, அதே நேரத்தில் மையம் பழுப்பு நிறமாக மாறும்.சில வாரங்களில், இந்த இலை புள்ளிகளின் இரண்டாம் நிலை விரிவாக்கம் ஏற்படுகிறது.
பெரிதும் பாதிக்கப்பட்ட இலைகள் குளோரோடிக் ஆகின்றன மற்றும் அழிவு ஏற்படுகிறது.
அழுகிய பகுதி விரிவடையும் போது, ​​சீரான அகல வடிவத்தின் தொடர்ச்சியான செறிவான பட்டைகள் கருப்பு முதல் பழுப்பு வரை நிறத்தில் மாற்றப்படுகின்றன.அழுகப்பட்ட பகுதியின் சதை உறுதியாகவும் தோல் உடையதாகவும் உள்ளது.கருப்பு பைக்னிடியா பெரும்பாலும் பாதிக்கப்பட்ட பழத்தின் மேற்பரப்பில் காணப்படுகிறது.",முடிவிலிருந்து குறைந்தது 15 அங்குலங்கள் கீழே கத்தரித்து அவற்றை எரிக்கவும் அல்லது புதைக்கவும் கேனர்களை அகற்றவும்.புதிய சீசன் கத்தரிக்காய் மூலம் தடுப்பு பராமரிப்பை எடுத்து அவற்றை எரிக்கவும். செயலற்ற பருவத்தில் நீங்கள் கத்தரிக்காய் இருப்பது நல்லது.இது உங்கள் மரத்தைப் பாதிக்கும் மற்றும் போட்ரியோஸ்பேரியாவால் எளிதில் பாதிக்கப்படக்கூடிய இறந்த திசுக்களை உருவாக்கும் என்ற முரண்பாடுகளை இது குறைக்கும். பட்டை ஆலங்கட்டி மூலம் சேதமடைந்தால் அல்லது ஒரு காற்று புயலின் போது கிளைகள் உடைக்கப்படுகிறீர்களானால் நீங்கள் முன்னெச்சரிக்கை நடவடிக்கைகளையும் எடுக்க வேண்டும்.செப்பு அடிப்படையிலான பூஞ்சைக் கொல்லியைப் பயன்படுத்துவது கருப்பு அழுகல் மற்றும் தீ ப்ளைட்டில் இருந்து பாதுகாக்கும்.,http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (ஆப்பிள்: சிடார் துரு),"சிடார் ஆப்பிள் ரஸ்ட் (ஜிம்னோஸ்போரங்கியம் ஜூனிபேரி-வர்ஜீனியா) ஒரு பூஞ்சை நோயாகும், இது ஜூனிபர் தாவரங்கள் அதன் சிக்கலான இரண்டு ஆண்டு வாழ்க்கைச் சுழற்சியை முடிக்க வேண்டும்.பல்வேறு ஜூனிபர் இனங்களின் இளம் கிளைகளில் சிவப்பு-பழுப்பு நிறமாக வித்திகள் ஓவர்விண்டர்.வசந்த காலத்தின் துவக்கத்தில், ஈரமான வானிலையின் போது, ​​இந்த கால்கள் வீங்குகின்றன மற்றும் பிரகாசமான ஆரஞ்சு நிற வதுரங்கள் காற்றால் ஊதப்படுகின்றன, அங்கு அவை எளிதில் பாதிக்கப்படக்கூடிய ஆப்பிள் மற்றும் நண்டு-ஆப்பிள் மரங்களை பாதிக்கின்றன.இந்த மரங்களில் உருவாகும் வித்திகள் அடுத்த ஆண்டு ஜூனிபர்களை மட்டுமே பாதிக்கும்.ஆண்டுதோறும், இந்த நோய் ஜூனிபர்களிலிருந்து ஆப்பிள்களுக்கு மீண்டும் ஜூனிபர்களுக்கு செல்ல வேண்டும்;இது ஆப்பிள் மரங்களுக்கு இடையில் பரவ முடியாது.","கிடைக்கும்போது எதிர்ப்பு சாகுபடியைத் தேர்வுசெய்க.
விழுந்த இலைகள் மற்றும் பிற குப்பைகளை மரங்களின் கீழ் இருந்து அகற்றி அப்புறப்படுத்துங்கள்.
பாதிக்கப்பட்ட ஜூனிபர்களிடமிருந்து கால்களை அகற்றவும்.சில சந்தர்ப்பங்களில், ஜூனிபர் தாவரங்கள் முழுவதுமாக அகற்றப்பட வேண்டும்.
ஜூனிபர் ஹோஸ்டால் வெளியிடப்படும் வித்திகளிலிருந்து மரங்களை பாதுகாக்க, பட் பிரேக் தொடங்கி, வாராந்திர ஆப்பிள்களில் பயன்படுத்த பெயரிடப்பட்ட தடுப்பு, நோய்-சண்டை பூஞ்சைக் கொல்லிகளைப் பயன்படுத்துங்கள்.இது வருடத்திற்கு ஒரு முறை மட்டுமே நிகழ்கிறது, எனவே இந்த வசந்தகால பரவலுக்குப் பிறகு கூடுதல் விண்ணப்பங்கள் தேவையில்லை.
ஜூனிபரில், ஆகஸ்ட் பிற்பகுதியிலிருந்து அக்டோபர் பிற்பகுதியிலும், அக்டோபர் பிற்பகுதியிலும் குறைந்தது நான்கு முறையாவது செப்பு கரைசலுடன் (0.5 முதல் 2.0 அவுன்ஸ்/ கேலன் தண்ணீர்) தாவரங்களை தெளிப்பதன் மூலம் துருவை கட்டுப்படுத்த முடியும்.
பெரும்பாலான பூஞ்சை மற்றும் பாக்டீரியா நோய்களை செரினேட் தோட்டத்துடன் பாதுகாப்பாக நடத்துங்கள்.இந்த பரந்த ஸ்பெக்ட்ரம் பயோ-ஃபங்கைடு கரிம பயன்பாட்டிற்காக பதிவுசெய்யப்பட்ட பேசிலஸ் சப்டிலிஸின் காப்புரிமை பெற்ற திரிபு பயன்படுத்துகிறது.எல்லாவற்றிற்கும் மேலாக, செரினேட் தேனீக்கள் மற்றும் நன்மை பயக்கும் பூச்சிகளுக்கு முற்றிலும் நச்சுத்தன்மையற்றது.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (ஆப்பிள்: ஆரோக்கியமான),"பெரும்பாலான பழங்களைப் போலவே, முழு வெயிலில் வளர்க்கும்போது ஆப்பிள்கள் சிறந்தவை, அதாவது தினமும் ஆறு அல்லது அதற்கு மேற்பட்ட மணிநேர நேரடி கோடை சூரியன். ஆப்பிள்களுக்கான சிறந்த வெளிப்பாடு என்பது தெற்கைக் காட்டிலும் ஒரு வீட்டின் வடக்குப் பகுதி, மரக் கோடு அல்லது உயர்வு ஆகும். ஆப்பிள் மரங்களுக்கு நன்கு வடிகட்டிய மண் தேவை, ஆனால் சில ஈரப்பதத்தைத் தக்க வைத்துக் கொள்ள முடியும்.","ஆப்பிள்கள் சத்தானவை.
எடை இழப்புக்கு ஆப்பிள்கள் நல்லது.
ஆப்பிள்கள் உங்கள் இதயத்திற்கு நல்லது.
அவை நீரிழிவு நோயின் குறைந்த ஆபத்துடன் இணைக்கப்பட்டுள்ளன.
அவை ப்ரீபயாடிக் விளைவுகளை ஏற்படுத்தக்கூடும் மற்றும் நல்ல குடல் பாக்டீரியாவை ஊக்குவிக்கக்கூடும்.
ஆப்பிள்களில் உள்ள பொருட்கள் புற்றுநோயைத் தடுக்க உதவும்.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (இலைகள் இல்லாமல் பின்னணி),கொடுக்கப்பட்ட படத்தில் இலை இல்லை,தயவுசெய்து இலை மூலம் படத்தை மீண்டும் ஏற்றவும்,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (புளுபெர்ரி: ஆரோக்கியமான),"அவுரிநெல்லிகள் கலோரிகளில் குறைவாக உள்ளன, ஆனால் ஊட்டச்சத்துக்கள் அதிகம்....
அவுரிநெல்லிகள் ஆக்ஸிஜனேற்ற உணவுகளின் ராஜா....
அவுரிநெல்லிகள் டி.என்.ஏ சேதத்தை குறைக்கின்றன, இது வயதான மற்றும் புற்றுநோயிலிருந்து பாதுகாக்க உதவும்....
அவுரிநெல்லிகள் உங்கள் இரத்தத்தில் உள்ள கொழுப்பை சேதப்படுத்தாமல் பாதுகாக்கின்றன....
அவுரிநெல்லிகள் இரத்த அழுத்தத்தைக் குறைக்கலாம்.","கரி பாசி, பைன் ஊசிகள் அல்லது நன்கு வயதான மரத்தூள் போன்ற ஆழமான, குறைந்த pH தழைக்கூளம் தண்ணீரைப் பாதுகாக்கிறது மற்றும் மண் நீர் ஏற்ற இறக்கங்களைக் குறைக்கிறது.பகலில் நீர் புளூபெர்ரி தாவரங்கள்.மண்ணை ஈரப்பதமாக வைத்திருங்கள், ஆனால் சோர்வாக இல்லை.பழம் பழுக்க வைக்கும் போது வளரும் பருவத்தில் வாரத்திற்கு குறைந்தது 1 ""மற்றும் வாரத்திற்கு 4 வரை"" கொடுங்கள். புளூபெர்ரி ஒரு ஆழமற்ற வேரூன்றிய தாவரமாகும்.எனவே, இதற்கு ஈரப்பதத்தை வைத்திருக்கும் மண் தேவைப்படுகிறது, ஆனால் நன்றாக வடிகட்டுகிறது மற்றும் ஈரமாக இருக்காது.ஈரமாக இருக்கும் கனமான, களிமண் மண்ணைக் கொண்ட தளங்களில் அவுரிநெல்லிகளை நடுங்கள்.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (செர்ரி: தூள் பூஞ்சை காளான்),"முதல் நீர்ப்பாசனம் தொடங்கிய 7 முதல் 10 நாட்களுக்குப் பிறகு பெரும்பாலும் நிகழும் ஆரம்ப அறிகுறிகள், இளம், எளிதில் பாதிக்கப்படக்கூடிய இலைகளில் (புதிதாக வெளிவந்த மற்றும் வெளிர் பச்சை விரிவடையும் இலைகளில்) தோராயமாக-வட்டமான, தூள் தோற்றமளிக்கும் திட்டுகள்.பழைய இலைகள் தூள் பூஞ்சை காளான் வயது தொடர்பான (ஆன்டோஜெனிக்) எதிர்ப்பை உருவாக்குகின்றன, மேலும் இயற்கையாகவே இளைய இலைகளை விட தொற்றுநோயை எதிர்க்கின்றன.வேர் உறிஞ்சிகள், விதானத்தின் உட்புறம் அல்லது ஈரப்பதம் அதிகமாக இருக்கும் மரத்தின் ஊன்றுகோல் ஆகியவற்றில் ஆரம்பகால இலை நோய்த்தொற்றுகளைப் பாருங்கள்.மற்ற பூஞ்சைகளுக்கு மாறாக, தூள் பூஞ்சை காளான் முளைக்க இலவச நீர் தேவையில்லை, ஆனால் முளைப்பு மற்றும் பூஞ்சை வளர்ச்சி ஆகியவை அதிக ஈரப்பதத்தால் விரும்பப்படுகின்றன.இலைகளின் அடிப்பகுதிகளில் (அபாக்ஸியல்) இந்த நோய் தொடங்குவதற்கான வாய்ப்புகள் அதிகம், ஆனால் இரு பக்கங்களிலும் பிற்கால கட்டங்களில் நிகழும்.சீசன் முன்னேறும்போது, ​​தொற்று காற்றால் பரவுகிறது, இலைகள் சிதைந்து, மேல்நோக்கி சுருண்டிருக்கலாம்.கடுமையான நோய்த்தொற்றுகள் இலைகளை பக்கர் மற்றும் ட்விஸ்டுக்கு ஏற்படுத்தக்கூடும்.புதிய தளிர்களில் புதிதாக உருவாக்கப்பட்ட இலைகள் படிப்படியாக சிறியதாகி, பெரும்பாலும் வெளிர் மற்றும் சிதைக்கப்படலாம்.","வெட்டு விளிம்புகளை கிருமி நீக்கம் செய்து, பின்னர் கத்தரிக்காய் மற்றும் தாவரத்தின் நோயுற்ற பகுதிகளை உடனடியாக நிராகரிக்கவும்.அதே நேரத்தில், பழ மரத்தின் மீதமுள்ள இலைகளைப் பாதுகாக்க பூஞ்சைக் கொல்லிகளைப் பயன்படுத்துங்கள்.முழு பருவத்திலும் மரங்களைப் பாதுகாக்க லேபிள் அறிவுறுத்தல்களின்படி நீங்கள் பூஞ்சைக் கொல்லி பயன்பாடுகளை மீண்டும் செய்ய வேண்டும்.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (செர்ரி: ஆரோக்கியமான),"புளிப்பு மற்றும் இனிப்பு செர்ரிகளுக்கு இடையில் கவனிப்பில் எந்த வித்தியாசமும் இல்லை.
ஈரப்பதத்தைத் தக்கவைக்க தழைக்கூளம் பயன்படுத்துங்கள்.
பறவைகளிலிருந்து பழங்களைப் பாதுகாக்க மரங்கள் மீது வலையமைப்பது.
வறண்ட பகுதிகளில் தண்ணீர் வழக்கமாக.
செர்ரி மரங்களுக்கு பழத்தை மெலி செய்வது தேவையில்லை, ஏனெனில் அவை பொதுவாக கோடையின் ஆரம்பத்தில் இயற்கையாகவே மெல்லியதாக இருக்கும்.","ஊட்டச்சத்துக்கள் நிரம்பியுள்ளன.
ஆக்ஸிஜனேற்றிகள் மற்றும் அழற்சி எதிர்ப்பு சேர்மங்கள் நிறைந்தவை.
உடற்பயிற்சி மீட்டெடுப்பை அதிகரிக்க முடியும்.
இதய ஆரோக்கியத்திற்கு பயனளிக்கும்.
கீல்வாதம் மற்றும் கீல்வாதத்தின் அறிகுறிகளை மேம்படுத்தலாம்.
தூக்க தரத்தை மேம்படுத்தலாம்.
உங்கள் உணவில் சேர்க்க எளிதானது.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (சோளம்: செர்கோஸ்போரா இலை புள்ளி |சாம்பல் இலை இடம்),"செர்கோஸ்போரா ஜீ-மெய்டிஸ் என்ற பூஞ்சையால் ஏற்படும் சோளத்தின் சாம்பல் இலை புள்ளி, அமெரிக்காவில் ஒரு பரவலான மற்றும் பொருளாதார ரீதியாக தீங்கு விளைவிக்கும் நோயாகும்.1990 களின் நடுப்பகுதியில் இருந்து, இந்தியானாவில் இந்த நோய் முக்கியத்துவம் அதிகரித்துள்ளது, இப்போது இது மாநிலத்தில் சோளத்தின் மிக முக்கியமான ஃபோலியார் நோய்களில் ஒன்றாகும். கிரே இலை ஸ்பாட் நோய் பைரிகுலேரியா கிரிசியா என்ற பூஞ்சையால் ஏற்படுகிறது, இது மேக்னாபோர்த் கிரிசியா என்றும் குறிப்பிடப்படுகிறது.புளோரிடாவில் பொதுவான வெப்பமான மழைக்காலங்கள் இந்த பூஞ்சை நோய்க்கு சாதகமான நிலைமைகளை உருவாக்குகின்றன.இந்த பூஞ்சை வளர குறைகிறது, தின்ஸ் நிறுவப்பட்ட நிலைகள் மற்றும் செயின்ட் பெரிய பகுதிகளை கொல்லக்கூடும்.","ஆழமாக நீர்ப்பாசனம் செய்யுங்கள், ஆனால் அவ்வப்போது.
நோய் செயலில் இருக்கும்போது புல்வெளியில் பிந்தைய வெளிவரும் களை கொலையாளிகளைப் பயன்படுத்துவதைத் தவிர்க்கவும்.
நடுத்தர முதல் உயர் நைட்ரஜன் உர அளவைத் தவிர்க்கவும்.
புல்வெளியில் காற்று சுழற்சி மற்றும் ஒளி அளவை மேம்படுத்தவும்.
சரியான உயரத்தில் வெட்டவும், புல் வறண்டு போகும்போது மட்டுமே கத்தவும்.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (சோளம்: பொதுவான துரு),"வளரும் பருவம் முழுவதும் சோள வயல்களில் ஒரு சில துரு கொப்புளங்கள் எப்போதும் காணப்படுகின்றன என்றாலும், அறிகுறிகள் பொதுவாக டஸ்ஸலிங் செய்தபின் வரை தோன்றாது.சோள இலைகளின் மேல் மற்றும் கீழ் மேற்பரப்புகளில் சிதறடிக்கப்பட்ட இருண்ட, சிவப்பு-பழுப்பு நிற கொப்புளங்களின் (யுரேடினியா) வளர்ச்சியால் இவை எளிதில் அங்கீகரிக்கப்பட்டு மற்ற நோய்களிலிருந்து வேறுபடுகின்றன.இந்த கொப்புளங்கள் தாவரத்தின் மேலே உள்ள எந்தப் பகுதியிலும் தோன்றக்கூடும், ஆனால் இலைகளில் ஏராளமானவை.கொப்புளங்கள் ஓவல் முதல் வடிவத்தில் நீளமாகத் தோன்றுகின்றன, பொதுவாக சிறியவை, 1/4 அங்குல நீளமுள்ளவை, மற்றும் இலை எபிடெர்மல் அடுக்கால் சூழப்பட்டுள்ளன, அங்கு அது உடைந்துவிட்டது.","சோள துருவின் நிகழ்வுகளை குறைக்க, பூஞ்சைக்கு எதிர்ப்பைக் கொண்ட சோளத்தை மட்டுமே நடவு செய்யுங்கள்.எதிர்ப்பு என்பது இனம் சார்ந்த எதிர்ப்பு அல்லது பகுதி துரு எதிர்ப்பின் வடிவத்தில் உள்ளது.இரண்டிலும், எந்த இனிப்பு சோளமும் முற்றிலும் எதிர்க்கவில்லை.சோளம் நோய்த்தொற்றின் அறிகுறிகளைக் காட்டத் தொடங்கினால், உடனடியாக ஒரு பூஞ்சைக் கொல்லியுடன் தெளிக்கவும்.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
