index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (ఆపిల్: స్కాబ్),"ఆపిల్ స్కాబ్ మిన్నెసోటాలోని ఆపిల్ మరియు క్రాబాపిల్ చెట్ల యొక్క అత్యంత సాధారణ వ్యాధి.
ఆకులు మరియు పండ్లు రెండింటినీ సోకుతున్న ఫంగస్ వల్ల స్కాబ్ వస్తుంది.
స్కబీ ఫ్రూట్ తరచుగా తినడానికి అనర్హులు.
సోకిన ఆకులు ఆలివ్ ఆకుపచ్చ నుండి గోధుమ రంగు మచ్చలను కలిగి ఉంటాయి.
అనేక ఆకు మచ్చలతో ఉన్న ఆకులు పసుపు రంగులోకి మారుతాయి మరియు ప్రారంభంలో పడిపోతాయి.
ఆకు నష్టం చెట్టు వరుసగా చాలా సంవత్సరాలు సంభవించినప్పుడు బలహీనపడుతుంది.
వ్యాధి నిరోధక రకాలను నాటడం స్కాబ్ నిర్వహించడానికి ఉత్తమ మార్గం.","సాధ్యమైనప్పుడు నిరోధక రకాలను ఎంచుకోండి.
వచ్చే వసంతకాలంలో మళ్లీ వ్యాధి చక్రాన్ని ప్రారంభించడానికి అందుబాటులో ఉన్న ఫంగల్ బీజాంశాల సంఖ్యను తగ్గించడానికి చెట్ల క్రింద రేక్ మరియు సోకిన ఆకులను నాశనం చేయండి.
సంక్రమణ సంభవించే ముందు ఆకులు ఎండిపోవడానికి సమయం ఇవ్వడానికి సాయంత్రం లేదా తెల్లవారుజామున (ఓవర్ హెడ్ నీటిపారుదలని నివారించండి).
చెట్ల క్రింద 3- నుండి 6-అంగుళాల కంపోస్ట్ పొరను విస్తరించండి, దానిని ట్రంక్ నుండి దూరంగా ఉంచడం, మట్టిని కప్పడానికి మరియు ఫంగల్ బీజాంశాల స్ప్లాష్ చెదరగొట్టడాన్ని నివారించడానికి.
ఉత్తమ నియంత్రణ కోసం, లిక్విడ్ రాగి సబ్బును పిచికారీ చేయండి, లక్షణాలు సాధారణంగా కనిపించడానికి రెండు వారాల ముందు.ప్రత్యామ్నాయంగా, వ్యాధి మొదట కనిపించినప్పుడు అనువర్తనాలను ప్రారంభించండి మరియు వికసించిన డ్రాప్ వరకు 7 నుండి 10 రోజుల వ్యవధిలో పునరావృతం చేయండి.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (ఆపిల్: నల్ల తెగులు),"ఆకులు విప్పుతున్నప్పుడు వసంత ప్రారంభంలో ఆకు లక్షణాలు మొదట సంభవిస్తాయి.
అవి ఆకుల పై ఉపరితలంపై చిన్న, ple దా మచ్చలుగా కనిపిస్తాయి, ఇవి 1/8 నుండి 1/4 అంగుళాల (3-6 మిమీ) వ్యాసం కలిగిన వృత్తాకార గాయాలలో విస్తరిస్తాయి.
గాయాల మార్జిన్ ple దా రంగులో ఉంటుంది, అయితే కేంద్రం తాన్ గోధుమ రంగులోకి మారుతుంది.కొన్ని వారాల్లో, ఈ ఆకు మచ్చల యొక్క ద్వితీయ విస్తరణ జరుగుతుంది.
భారీగా సోకిన ఆకులు క్లోరోటిక్ అవుతాయి మరియు డిఫోలియేషన్ సంభవిస్తుంది.
కుళ్ళిన ప్రాంతం విస్తరిస్తున్నప్పుడు, ఏకరీతి వెడల్పు రూపం యొక్క కేంద్రీకృత బ్యాండ్ల శ్రేణి, ఇది నలుపు నుండి గోధుమ రంగు వరకు రంగులో ఉంటుంది.కుళ్ళిన ప్రాంతం యొక్క మాంసం దృ and ంగా మరియు తోలుగా ఉంటుంది.బ్లాక్ పైక్నిడియా తరచుగా సోకిన పండ్ల ఉపరితలంపై కనిపిస్తుంది.","చివరి 15 అంగుళాల క్రింద కత్తిరించడం ద్వారా క్యాంకర్లను తీసివేసి, వాటిని కాల్చండి లేదా పాతిపెట్టండి.కొత్త సీజన్ కత్తిరింపులతో నివారణ సంరక్షణను కూడా తీసుకోండి మరియు వాటిని కూడా కాల్చండి. మీరు నిద్రాణమైన కాలంలో కత్తిరింపు నుండి మంచివారు.ఇది అగ్ని ముడత మీ చెట్టుకు సోకుతుందనే అసమానతలను తగ్గిస్తుంది మరియు బొట్రియోస్ఫేరియా ద్వారా సులభంగా సోకిన చనిపోయిన కణజాలాన్ని ఉత్పత్తి చేస్తుంది. బెరడు వడగళ్ళు దెబ్బతిన్నట్లయితే మీరు కూడా జాగ్రత్తలు తీసుకోవాలి, లేదా విండ్ స్టార్మ్ సమయంలో శాఖలు విరిగిపోతాయి.రాగి ఆధారిత శిలీంద్ర సంహారిణిని ఉపయోగించడం వల్ల బ్లాక్ రాట్ మరియు ఫైర్ బ్లైట్ రెండింటి నుండి రక్షిస్తుంది.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (ఆపిల్: సెడార్ రస్ట్),"సెడార్ ఆపిల్ రస్ట్ (జిమ్నోస్పోరోంగియం జునిపెరి-వర్జీనియన్) అనేది ఒక ఫంగల్ వ్యాధి, ఇది జునిపెర్ మొక్కలు దాని సంక్లిష్టమైన రెండు సంవత్సరాల జీవిత-చక్రాన్ని పూర్తి చేయడానికి అవసరం.వివిధ జునిపెర్ జాతుల యువ కొమ్మలపై ఎర్రటి-గోధుమ పిత్తాశయంగా బీజాంశం ఓవర్ వింటర్.వసంత early తువులో, తడి వాతావరణంలో, ఈ పిత్తాశయాలు ఉబ్బు మరియు ప్రకాశవంతమైన నారింజ ద్రవ్యరాశి గాలి ద్వారా ఎగిరిపోతాయి, అక్కడ అవి ఆపిల్ మరియు పీత-ఆపిల్ చెట్లకు సోకుతాయి.ఈ చెట్లపై అభివృద్ధి చెందుతున్న బీజాంశాలు మరుసటి సంవత్సరం జునిపెర్లకు మాత్రమే సోకుతాయి.సంవత్సరం నుండి సంవత్సరానికి, ఈ వ్యాధి జునిపర్స్ నుండి ఆపిల్లకు మళ్లీ జునిపెర్లకు వెళ్ళాలి;ఇది ఆపిల్ చెట్ల మధ్య వ్యాపించదు.","అందుబాటులో ఉన్నప్పుడు నిరోధక సాగులను ఎంచుకోండి.
చెట్ల క్రింద నుండి పడిపోయిన ఆకులు మరియు ఇతర శిధిలాలను విడదీయండి.
సోకిన జునిపర్స్ నుండి పిత్తాశయాలను తొలగించండి.కొన్ని సందర్భాల్లో, జునిపెర్ మొక్కలను పూర్తిగా తొలగించాలి.
జునిపెర్ హోస్ట్ విడుదల చేస్తున్న బీజాంశాల నుండి చెట్లను రక్షించడానికి, బడ్ బ్రేక్‌తో ప్రారంభించి, ఆపిల్ల వీక్లీలో ఉపయోగం కోసం లేబుల్ చేయబడిన నివారణ, వ్యాధి-పోరాట శిలీంద్రనాశకాలను వర్తించండి.ఇది సంవత్సరానికి ఒకసారి మాత్రమే జరుగుతుంది, కాబట్టి ఈ వసంతకాలం వ్యాప్తి తర్వాత అదనపు అనువర్తనాలు అవసరం లేదు.
జునిపెర్లో, ఆగస్టు చివరి మరియు అక్టోబర్ చివరి మధ్య కనీసం నాలుగు సార్లు రాగి ద్రావణంతో (0.5 నుండి 2.0 oz/ గాలన్ నీరు) మొక్కలను చల్లడం ద్వారా తుప్పును నియంత్రించవచ్చు.
చాలా ఫంగల్ మరియు బ్యాక్టీరియా వ్యాధులను సెరినేడ్ గార్డెన్‌తో సురక్షితంగా చికిత్స చేయండి.ఈ విస్తృత స్పెక్ట్రం బయో-ఫంగిసైడ్ సేంద్రీయ ఉపయోగం కోసం నమోదు చేయబడిన బాసిల్లస్ సబ్టిలిస్ యొక్క పేటెంట్ స్ట్రెయిన్‌ను ఉపయోగిస్తుంది.అన్నింటికన్నా ఉత్తమమైనది, సెరినేడ్ తేనెటీగలు మరియు ప్రయోజనకరమైన కీటకాలకు పూర్తిగా విషరహితమైనది.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (ఆపిల్: ఆరోగ్యకరమైన),"చాలా పండ్ల మాదిరిగానే, పూర్తి ఎండలో పెరిగినప్పుడు ఆపిల్ల ఉత్తమంగా ఉత్పత్తి చేస్తుంది, అంటే ప్రతిరోజూ ఆరు లేదా అంతకంటే ఎక్కువ గంటలు ప్రత్యక్ష వేసవి సూర్యుడు. ఆపిల్ కోసం ఉత్తమమైన ఎక్స్పోజర్ దక్షిణాన కంటే ఇల్లు, చెట్ల రేఖ లేదా పెరుగుదల యొక్క ఉత్తరం వైపు.","ఆపిల్ల పోషకమైనవి.
బరువు తగ్గడానికి ఆపిల్ల మంచిది.
ఆపిల్ల మీ హృదయానికి మంచిది కావచ్చు.
వారు డయాబెటిస్ యొక్క తక్కువ ప్రమాదంతో అనుసంధానించబడ్డారు.
అవి ప్రీబయోటిక్ ప్రభావాలను కలిగి ఉండవచ్చు మరియు మంచి గట్ బ్యాక్టీరియాను ప్రోత్సహిస్తాయి.
ఆపిల్ లోని పదార్థాలు క్యాన్సర్‌ను నివారించడంలో సహాయపడతాయి.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (ఆకులు లేకుండా నేపథ్యం),ఇచ్చిన చిత్రంలో ఆకు లేదు,దయచేసి ఆకుతో చిత్రాన్ని తిరిగి లోడ్ చేయండి,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (బ్లూబెర్రీ: ఆరోగ్యకరమైన),"బ్లూబెర్రీస్‌లో కేలరీలు తక్కువగా ఉంటాయి కాని పోషకాలు ఎక్కువగా ఉంటాయి.... ...
బ్లూబెర్రీస్ యాంటీఆక్సిడెంట్ ఫుడ్స్ రాజు.... ...
బ్లూబెర్రీస్ DNA నష్టాన్ని తగ్గిస్తాయి, ఇది వృద్ధాప్యం మరియు క్యాన్సర్ నుండి రక్షించడానికి సహాయపడుతుంది.... ...
బ్లూబెర్రీస్ మీ రక్తంలో కొలెస్ట్రాల్ దెబ్బతినకుండా కాపాడుతుంది.... ...
బ్లూబెర్రీస్ రక్తపోటును తగ్గిస్తుంది.","పీట్ నాచు, పైన్ సూదులు లేదా బాగా వృద్ధాప్య సాడస్ట్ వంటి లోతైన, తక్కువ పిహెచ్ మల్చ్ నీటిని సంరక్షిస్తుంది మరియు నేల నీటి హెచ్చుతగ్గులను తగ్గిస్తుంది.పగటిపూట వాటర్ బ్లూబెర్రీ మొక్కలు.నేల తేమగా ఉంచండి కాని పొగమంచు కాదు.పండ్ల పండిన సమయంలో పెరుగుతున్న కాలంలో వారానికి కనీసం 1 ""మరియు వారానికి 4 వరకు"" ఇవ్వండి. బ్లూబెర్రీ నిస్సార-పాతుకుపోయిన మొక్క.అందువల్ల, దీనికి తేమను కలిగి ఉన్న నేల అవసరం, కానీ బాగా ప్రవహిస్తుంది మరియు తడిగా ఉండదు.తడిసిపోయే భారీ, క్లేయ్ నేలలను కలిగి ఉన్న సైట్లలో బ్లూబెర్రీస్ నాటవద్దు.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (చెర్రీ: పొడి బూజు),"ప్రారంభ లక్షణాలు, మొదటి నీటిపారుదల ప్రారంభమైన 7 నుండి 10 రోజుల తరువాత తరచుగా సంభవిస్తాయి, ఇవి తేలికపాటి-వృత్తాకార, యువ, గ్రహించదగిన ఆకుల (కొత్తగా విప్పబడిన మరియు లేత ఆకుపచ్చ విస్తరించే ఆకులు) పై సుమారుగా-వృత్తాకార, పొడి పాచెస్.పాత ఆకులు పొడి బూజుకు వయస్సు-సంబంధిత (ఒంటోజెనిక్) నిరోధకతను అభివృద్ధి చేస్తాయి మరియు సహజంగా చిన్న ఆకుల కంటే సంక్రమణకు ఎక్కువ నిరోధకతను కలిగి ఉంటాయి.రూట్ సక్కర్స్, పందిరి లోపలి లేదా తేమ ఎక్కువగా ఉన్న చెట్టు యొక్క క్రోచ్ పై ప్రారంభ ఆకు ఇన్ఫెక్షన్ల కోసం చూడండి.ఇతర శిలీంధ్రాలకు విరుద్ధంగా, పొడి బూజుకు మొలకెత్తడానికి ఉచిత నీరు అవసరం లేదు కాని అంకురోత్పత్తి మరియు శిలీంధ్ర పెరుగుదల అధిక తేమతో అనుకూలంగా ఉంటాయి.ఈ వ్యాధి ఆకుల అండర్‌సైడ్‌లపై (అబాక్సియల్) ప్రారంభించే అవకాశం ఉంది, కాని తరువాతి దశలలో రెండు వైపులా సంభవిస్తుంది.సీజన్ అభివృద్ధి చెందుతున్నప్పుడు మరియు సంక్రమణ గాలి ద్వారా వ్యాప్తి చెందుతున్నప్పుడు, ఆకులు వక్రీకరించవచ్చు, పైకి కర్లింగ్.తీవ్రమైన అంటువ్యాధులు ఆకులు పుకర్ మరియు ట్విస్ట్ కు కారణం కావచ్చు.కొత్త రెమ్మలపై కొత్తగా అభివృద్ధి చెందిన ఆకులు క్రమంగా చిన్నవిగా మారతాయి, తరచుగా లేతగా ఉంటాయి మరియు వక్రీకరించవచ్చు.","కట్టింగ్ అంచులను క్రిమిసంహారక చేసి, ఆపై కత్తిరించండి మరియు మొక్క యొక్క వ్యాధిగ్రస్తులైన భాగాలను వెంటనే విస్మరించండి.అదే సమయంలో, పండ్ల చెట్టుపై మిగిలిన ఆకులను రక్షించడానికి శిలీంద్రనాశకాలను వర్తించండి.మొత్తం సీజన్లో చెట్లను రక్షించడానికి లేబుల్ సూచనల ప్రకారం మీరు శిలీంద్ర సంహారిణి అనువర్తనాలను పునరావృతం చేయాలి.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (చెర్రీ: ఆరోగ్యకరమైన),"పుల్లని మరియు తీపి చెర్రీల మధ్య సంరక్షణలో తేడా లేదు.
తేమను నిలుపుకోవటానికి రక్షక కవచాన్ని వర్తించండి.
పక్షుల నుండి పండ్లను రక్షించడానికి చెట్లపై డ్రేప్ నెట్టింగ్.
పొడి ప్రాంతాలలో నీరు మామూలుగా.
చెర్రీ చెట్లకు పండు సన్నబడటం అవసరం లేదు, ఎందుకంటే వేసవి ప్రారంభంలో సాధారణంగా సహజంగా సన్నగా ఉంటుంది.","పోషకాలతో నిండి ఉంది.
యాంటీఆక్సిడెంట్లు మరియు యాంటీ ఇన్ఫ్లమేటరీ సమ్మేళనాలు.
వ్యాయామ పునరుద్ధరణను పెంచవచ్చు.
గుండె ఆరోగ్యానికి ప్రయోజనం చేకూరుస్తుంది.
ఆర్థరైటిస్ మరియు గౌట్ యొక్క లక్షణాలను మెరుగుపరచవచ్చు.
నిద్ర నాణ్యతను మెరుగుపరచవచ్చు.
మీ డైట్‌కు జోడించడం సులభం.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (మొక్కజొన్న: సెర్కోస్పోరా లీఫ్ స్పాట్ |గ్రే లీఫ్ స్పాట్),"మొక్కజొన్నపై గ్రే లీఫ్ స్పాట్, సెర్కోస్పోరా జీ-మేడిస్ అనే ఫంగస్ వల్ల, యునైటెడ్ స్టేట్స్లో ఒక తీవ్ర మరియు ఆర్థికంగా నష్టపరిచే వ్యాధి.1990 ల మధ్య నుండి, ఇండియానాలో ఈ వ్యాధి ప్రాముఖ్యత పెరిగింది, మరియు ఇప్పుడు రాష్ట్రంలో మొక్కజొన్న యొక్క ముఖ్యమైన ఆకుల వ్యాధులలో ఒకటి. గ్రే లీఫ్ స్పాట్ డిసీజ్ ఫంగస్ పిరిరికులరియా గ్రిసియా వల్ల సంభవిస్తుంది, దీనిని మాగ్నాపోర్తే గ్రిసియా అని కూడా పిలుస్తారు.ఫ్లోరిడాలో సాధారణమైన వెచ్చని వర్షపు కాలాలు ఈ ఫంగల్ వ్యాధికి అనుకూలమైన పరిస్థితులను సృష్టిస్తాయి.ఈ ఫంగస్ పెరుగుదలను తగ్గిస్తుంది, థిన్స్ స్థాపించబడింది మరియు సెయింట్ యొక్క పెద్ద ప్రాంతాలను చంపగలదు.","లోతుగా సాగునీరు, కానీ అరుదుగా.
వ్యాధి చురుకుగా ఉన్నప్పుడు పచ్చికలో పోస్ట్-ఎమర్జెంట్ కలుపు కిల్లర్లను ఉపయోగించడం మానుకోండి.
మీడియం నుండి అధిక నత్రజని ఎరువుల స్థాయిలను నివారించండి.
పచ్చికలో గాలి ప్రసరణ మరియు కాంతి స్థాయిని మెరుగుపరచండి.
సరైన ఎత్తులో కత్తిరించండి మరియు గడ్డి పొడిగా ఉన్నప్పుడు మాత్రమే కత్తిరించండి.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (మొక్కజొన్న: సాధారణ తుప్పు),"పెరుగుతున్న సీజన్ అంతా కొన్ని రస్ట్ స్ఫుప్పూలను మొక్కజొన్న పొలాలలో ఎల్లప్పుడూ కనుగొనగలిగినప్పటికీ, టాస్లింగ్ తర్వాత లక్షణాలు సాధారణంగా కనిపించవు.మొక్కజొన్న ఆకుల ఎగువ మరియు దిగువ ఉపరితలాలపై చెల్లాచెదురుగా ఉన్న చీకటి, ఎర్రటి-గోధుమ రంగు స్లొన్ స్లౌన్ స్ఫుటతలు (యురేర్డినియా) అభివృద్ధి ద్వారా వీటిని ఇతర వ్యాధుల నుండి సులభంగా గుర్తించవచ్చు మరియు వేరు చేయవచ్చు.ఈ స్లస్టూల్స్ మొక్క యొక్క పైభాగంలో ఏవైనా పై భాగంలో కనిపిస్తాయి, కానీ ఆకుల మీద చాలా సమృద్ధిగా ఉంటాయి.దుర్వినియోగం ఓవల్ ఆకారంలో పొడుగుగా కనిపిస్తాయి, సాధారణంగా చిన్నవి, 1/4 అంగుళాల కంటే తక్కువ పొడవు, మరియు చుట్టూ ఆకు ఎపిడెర్మల్ పొర చుట్టూ ఉంటాయి, ఇక్కడ అది విరిగిపోతుంది.","మొక్కజొన్న తుప్పు యొక్క సంఘటనలను తగ్గించడానికి, ఫంగస్‌కు నిరోధకత ఉన్న మొక్కజొన్న మాత్రమే మొక్క.ప్రతిఘటన అనేది జాతి-నిర్దిష్ట నిరోధకత లేదా పాక్షిక రస్ట్ నిరోధకత రూపంలో ఉంటుంది.ఈ రెండు సందర్భాల్లో, తీపి మొక్కజొన్న పూర్తిగా నిరోధకతను కలిగి ఉండదు.మొక్కజొన్న సంక్రమణ లక్షణాలను చూపించడం ప్రారంభిస్తే, వెంటనే శిలీంద్ర సంహారిణితో పిచికారీ చేయండి.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
