index,disease_name,description,Possible Steps,image_url
0,Apple : Scab (ایپل: خارش),"منیسوٹا میں سیب اور کریبپل کے درختوں کی سب سے عام بیماری ایپل خارش ہے۔
خارش ایک فنگس کی وجہ سے ہوتی ہے جو پتیوں اور پھل دونوں کو متاثر کرتی ہے۔
کھردری پھل کھانے کے لئے اکثر نااہل ہوتے ہیں۔
متاثرہ پتے میں زیتون سبز سے بھوری رنگ کے مقامات ہوتے ہیں۔
بہت سے پتے کے مقامات والے پتے زرد ہوجاتے ہیں اور جلدی سے گر جاتے ہیں۔
پتی کا نقصان درخت کو کمزور کرتا ہے جب یہ لگاتار کئی سالوں میں ہوتا ہے۔
بیماری سے متعلق مزاحم اقسام پودے لگانا کھوکھلی کا انتظام کرنے کا بہترین طریقہ ہے۔","جب ممکن ہو تو مزاحم اقسام کا انتخاب کریں۔
درختوں کے نیچے ریک اور متاثرہ پتیوں کو تباہ کریں تاکہ اگلے موسم بہار میں دوبارہ بیماری کے چکر کو شروع کرنے کے لئے دستیاب کوکیی بیضوں کی تعداد کو کم کیا جاسکے۔
انفیکشن ہونے سے پہلے پتیوں کو خشک ہونے کا وقت دینے کے لئے شام یا صبح کے اوقات میں پانی (اوور ہیڈ آبپاشی سے پرہیز کریں)۔
درختوں کے نیچے ھاد کی 3 سے 6 انچ پرت پھیلائیں ، اسے تنے سے دور رکھتے ہوئے ، مٹی کو ڈھانپنے اور کوکیی بیضوں کے سپلیش کو پھیلانے سے بچنے کے ل .۔
بہترین کنٹرول کے ل spe ، عام طور پر علامات ظاہر ہونے سے دو ہفتے قبل ، مائع تانبے کے صابن کو اسپرے کریں۔متبادل کے طور پر ، جب بیماری پہلی بار ظاہر ہوتی ہے تو ایپلی کیشنز کا آغاز کریں ، اور کھلنے والے ڈراپ تک 7 سے 10 دن کے وقفوں پر دہرائیں۔",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot (ایپل: سیاہ سڑ),"پتی کے علامات پہلے موسم بہار کے شروع میں ہوتے ہیں جب پتے کھلتے ہیں۔
وہ پتیوں کی اوپری سطح پر چھوٹے ، جامنی رنگ کے چشمی کے طور پر دکھائی دیتے ہیں جو قطر میں 1/8 سے 1/4 انچ (3-6 ملی میٹر) سرکلر گھاووں میں پھیل جاتے ہیں۔
گھاووں کا مارجن ارغوانی رنگ ہی رہتا ہے ، جبکہ مرکز ٹین کو بھوری ہوجاتا ہے۔کچھ ہفتوں میں ، ان پتی کے مقامات کی ثانوی توسیع ہوتی ہے۔
بھاری متاثرہ پتے کلوروٹک بن جاتے ہیں اور ڈیفولیئشن ہوتا ہے۔
جیسا کہ چھاپے ہوئے علاقے میں توسیع ہوتی ہے ، یکساں چوڑائی کے فارم کے متمرکز بینڈوں کا ایک سلسلہ جو رنگ میں سیاہ سے بھوری رنگ تک ہوتا ہے۔سڑھے ہوئے علاقے کا گوشت مضبوط اور چمڑا رہتا ہے۔سیاہ پائکیڈیا اکثر متاثرہ پھلوں کی سطح پر دیکھا جاتا ہے۔",کم از کم 15 انچ نیچے نیچے کی کٹائی کرکے کینکرز کو ہٹا دیں اور انہیں جلا دیں یا دفن کریں۔نئے سیزن کی کٹائی کے ساتھ بھی روک تھام کی دیکھ بھال کریں اور انہیں جلا دیں۔ آپ غیر فعال سیزن کے دوران کٹائی سے بہتر ہیں۔اس سے ان مشکلات کو کم سے کم کیا جاسکے گا کہ فائر بلائٹ آپ کے درخت کو متاثر کرے گی اور مردہ ٹشو پیدا کرے گی جو آسانی سے بوٹریوسفیریا سے متاثر ہوسکتی ہے۔ اگر چھال کو ہیل کے ذریعہ نقصان پہنچا ہے ، یا ہوا کے طوفان کے دوران شاخیں ٹوٹ جاتی ہیں تو آپ کو بھی احتیاطی تدابیر اختیار کرنی چاہئے۔تانبے پر مبنی فنگسائڈ کا استعمال سیاہ سڑ اور آگ دونوں سے بچائے گا۔,http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust (ایپل: دیودار زنگ),سیڈر ایپل زنگ (جمناسپورنگیم جونیپری-ورجینیانا) ایک کوکیی بیماری ہے جس کے لئے جونیپر پلانٹس کو اپنی دو سال کی زندگی کی پیچیدہ زندگی کو مکمل کرنے کی ضرورت ہوتی ہے۔مختلف جونیپر پرجاتیوں کے نوجوان ٹہنیوں پر سرخ رنگ کے بھوری رنگ کے طور پر بیضوں سے زیادہموسم بہار کے اوائل میں ، گیلے موسم کے دوران ، یہ گالوں میں پھولنے والی اور نارنجی رنگ کے رنگوں کو ہوا سے اڑا دیا جاتا ہے جہاں وہ حساس ایپل اور کیکڑے کے سیب کے درختوں کو متاثر کرتے ہیں۔ان درختوں پر تیار ہونے والے بیضوں سے اگلے سال صرف جونیپرس کو متاثر ہوگا۔سال بہ سال ، اس بیماری کو جونیپرس سے سیب سے ایک بار پھر جونیپرز تک جانا چاہئے۔یہ سیب کے درختوں کے درمیان نہیں پھیل سکتا۔,"دستیاب ہونے پر مزاحم کاشتوں کا انتخاب کریں۔
درختوں کے نیچے سے گرتے ہوئے پتے اور دیگر ملبے کو ختم کریں اور تصرف کریں۔
متاثرہ جونیپرز سے گالوں کو ہٹا دیں۔کچھ معاملات میں ، جونیپر پودوں کو مکمل طور پر ختم کیا جانا چاہئے۔
جونیپر میزبان کے ذریعہ چھونے والے درختوں کو چھونے سے بچانے کے لئے ، بڈ بریک سے شروع ہونے والے ، سیب کے استعمال کے ل labed لیبل لگا ہوا ، بیماری سے لڑنے والی فنگسائڈس کا اطلاق کریں۔یہ ہر سال صرف ایک بار ہوتا ہے ، لہذا اس موسم بہار کے پھیلاؤ کے بعد اضافی درخواستیں ضروری نہیں ہیں۔
جونیپر پر ، اگست کے آخر اور اکتوبر کے آخر کے درمیان کم از کم چار بار تانبے کے حل (0.5 سے 2.0 آانس/ گیلن پانی) کے ساتھ پودوں کو چھڑک کر زنگ کو کنٹرول کیا جاسکتا ہے۔
سیرنیڈ گارڈن کے ساتھ زیادہ تر کوکیی اور بیکٹیریل بیماریوں کا محفوظ طریقے سے علاج کریں۔یہ وسیع اسپیکٹرم بائیو فنگائڈ بیسیلس سبٹیلیس کے پیٹنٹ تناؤ کا استعمال کرتا ہے جو نامیاتی استعمال کے لئے رجسٹرڈ ہے۔سب سے اچھی بات یہ ہے کہ سیرنیڈ مکمل طور پر شہد کی مکھیوں اور فائدہ مند کیڑوں کے لئے غیر زہریلا ہے۔",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy (ایپل: صحت مند),جیسا کہ زیادہ تر پھلوں کی طرح ، سیب پورے دھوپ میں اگنے پر بہترین پیدا کرتے ہیں ، جس کا مطلب ہے کہ روزانہ چھ یا زیادہ گھنٹوں کے موسم گرما کا سورج۔ سیب کے لئے بہترین نمائش ایک مکان کا شمال کی طرف ، درخت کی لکیر یا جنوب کی بجائے عروج پر ہے۔ ایپل کے درختوں کو اچھی طرح سے گاڑی والی مٹی کی ضرورت ہوتی ہے ، لیکن کچھ نمی برقرار رکھنے کے قابل ہونا چاہئے۔,"سیب غذائیت مند ہیں۔
وزن میں کمی کے ل Ap سیب اچھ be ا ہوسکتا ہے۔
سیب آپ کے دل کے لئے اچھا ہوسکتا ہے۔
وہ ذیابیطس کے کم خطرہ سے منسلک ہیں۔
ان کے پری بائیوٹک اثرات ہوسکتے ہیں اور اچھے گٹ بیکٹیریا کو فروغ دیتے ہیں۔
سیب میں مادے کینسر سے بچنے میں مدد کرسکتے ہیں۔",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves (پتے کے بغیر پس منظر),دی گئی شبیہہ میں کوئی پتی نہیں ہے,براہ کرم پتی کے ساتھ تصویر کو دوبارہ اپ لوڈ کریں,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy (بلوبیری: صحت مند),"بلیو بیری میں کیلوری کم ہوتی ہے لیکن غذائی اجزاء میں زیادہ ہوتا ہے۔8 رہنے کے بارے میں دن کے بولتے ہیں
بلوبیری اینٹی آکسیڈینٹ فوڈز کے بادشاہ ہیں۔8 رہنے کے بارے میں دن کے بولتے ہیں
بلوبیری ڈی این اے کو پہنچنے والے نقصان کو کم کرتی ہے ، جو عمر اور کینسر سے بچانے میں مدد مل سکتی ہے۔8 رہنے کے بارے میں دن کے بولتے ہیں
بلوبیری آپ کے خون میں کولیسٹرول کو خراب ہونے سے بچاتے ہیں۔8 رہنے کے بارے میں دن کے بولتے ہیں
بلوبیری بلڈ پریشر کو کم کرسکتی ہے۔","گہری ، کم پییچ ملچ جیسے پیٹ کائی ، پائن سوئیاں یا اچھی طرح سے عمر کی چورا پانی کا تحفظ کرتی ہے اور مٹی کے پانی کے اتار چڑھاو کو کم کرتی ہے۔دن کے وقت پانی کے بلوبیری پودے۔مٹی کو نم رکھیں لیکن سوگی نہیں۔پھلوں کو پکنے کے دوران ان کو کم سے کم 1 ""ہر ہفتے بڑھتے ہوئے موسم کے دوران اور 4 تک"" ہر ہفتے دیں۔ بلوبیری ایک اتلی جڑوں والا پلانٹ ہے۔لہذا ، اس کے لئے ایسی مٹی کی ضرورت ہوتی ہے جو نمی رکھتا ہو ، بلکہ اچھی طرح سے نالی کرتا ہے اور گیلے نہیں رہتا ہے۔ایسی سائٹوں میں بلوبیری نہ لگائیں جن میں بھاری ، مٹی کی مٹی ہے جو گیلے رہتے ہیں۔",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew (چیری: پاؤڈر پھپھوندی),ابتدائی علامات ، جو اکثر پہلی آبپاشی کے آغاز کے 7 سے 10 دن بعد ہوتی ہیں ، ہلکی ہلکی سی سرکلر ، پاؤڈر نظر آنے والے پیچ نوجوان ، حساس پتے (نئے کھلتے ہوئے ، اور ہلکے سبز پھیلتے ہوئے پتے) ہوتے ہیں۔پرانے پتے پاؤڈر پھپھوندی کے خلاف عمر سے متعلق (اونٹوجینک) مزاحمت پیدا کرتے ہیں اور قدرتی طور پر چھوٹے پتے سے زیادہ انفیکشن کے خلاف مزاحم ہوتے ہیں۔جڑوں کے چوسنے والوں ، چھتری کے اندرونی حصے یا درخت کے کروٹ پر ابتدائی پتی کے انفیکشن تلاش کریں جہاں نمی زیادہ ہے۔دیگر کوکیوں کے برعکس ، پاؤڈر پھپھوندیوں کو انکرن کے ل free مفت پانی کی ضرورت نہیں ہے لیکن انکرن اور کوکیی نمو زیادہ نمی کی حمایت کرتی ہے۔اس بیماری کا امکان زیادہ سے زیادہ پتیوں کے انڈرسائڈس (ابیکسیل) پر شروع ہوتا ہے لیکن یہ بعد کے مراحل میں دونوں اطراف میں پائے گا۔جیسے جیسے موسم کی ترقی ہوتی ہے اور انفیکشن ہوا کے ذریعہ پھیل جاتا ہے ، پتے مسخ ہوجاتے ہیں ، اوپر کی طرف کرلنگ کرتے ہیں۔شدید انفیکشن سے پتے پکار اور موڑ کا سبب بن سکتے ہیں۔نئی ٹہنیاں پر نئے تیار کردہ پتے آہستہ آہستہ چھوٹے ہوجاتے ہیں ، اکثر پیلا ہوجاتے ہیں اور مسخ ہوسکتے ہیں۔,کاٹنے والے کناروں کو جراثیم کشی کریں ، پھر پلانٹ کے بیمار حصوں کو فوری طور پر کٹائیں اور خارج کردیں۔ایک ہی وقت میں ، پھلوں کے درخت پر باقی پتے کی حفاظت کے لئے فنگسائڈس لگائیں۔پورے سیزن میں درختوں کی حفاظت کے ل lab لیبل ہدایات کے مطابق آپ کو فنگسائڈ ایپلی کیشنز کو دہرانا ہوگا۔,http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy (چیری: صحت مند),"ھٹا اور میٹھی چیری کے مابین دیکھ بھال میں کوئی فرق نہیں ہے۔
نمی برقرار رکھنے کے لئے ملچ لگائیں۔
پھلوں کو پرندوں سے بچانے کے لئے درختوں پر جال بچھانا۔
خشک علاقوں میں معمول کے مطابق پانی۔
چیری کے درختوں کے لئے پھلوں کو پتلا کرنا ضروری نہیں ہے ، کیونکہ وہ عام طور پر موسم گرما کے اوائل میں قدرتی طور پر پتلا ہوجاتے ہیں۔","غذائی اجزاء سے بھرے
اینٹی آکسیڈینٹس اور اینٹی سوزش مرکبات سے مالا مال۔
ورزش کی بازیابی کو بڑھا سکتا ہے۔
دل کی صحت کو فائدہ پہنچا سکتا ہے۔
گٹھیا اور گاؤٹ کی علامات کو بہتر بنا سکتا ہے۔
نیند کے معیار کو بہتر بنا سکتا ہے۔
آپ کی غذا میں اضافہ کرنا آسان ہے۔",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot (کارن: سیرکوسپورہ پتی جگہ |بھوری رنگ کی پتی جگہ),مکئی پر بھوری رنگ کی پتی کا مقام ، فنگس سیرکوسپورہ زئی مائیڈیس کی وجہ سے ، ریاستہائے متحدہ میں ایک غیر معمولی اور معاشی طور پر نقصان دہ بیماری ہے۔1990 کی دہائی کے وسط کے بعد سے ، یہ بیماری انڈیانا میں اہمیت میں بڑھ چکی ہے ، اور اب ریاست میں مکئی کی سب سے اہم بیماریوں میں سے ایک ہے۔ گرے پتی کی بیماری فنگس پائیکولریا گریسیا کی وجہ سے ہوتی ہے ، جسے میگناپورٹ گریسی بھی کہا جاتا ہے۔فلوریڈا میں عام طور پر گرم بارش کے ادوار اس کوکیی بیماری کے لئے سازگار حالات پیدا کرتے ہیں۔یہ فنگس بڑھتی ہوئی سست ہے ، اس نے اسٹینڈ قائم کیا ہے اور سینٹ کے بڑے علاقوں کو ہلاک کرسکتا ہے۔,"گہری ، لیکن کبھی کبھار سیراب کریں۔
جب یہ بیماری فعال ہے تو لان میں زبانی طور پر بعد کے ماتمی لباس کے قاتلوں کو استعمال کرنے سے گریز کریں۔
درمیانے درجے سے زیادہ نائٹروجن کھاد کی سطح سے پرہیز کریں۔
لان پر ہوا کی گردش اور روشنی کی سطح کو بہتر بنائیں۔
مناسب اونچائی پر گھاس کاٹنے اور جب گھاس خشک ہو تو صرف گھاس کاٹنے والا۔",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust (مکئی: عام زنگ آلود),اگرچہ بڑھتے ہوئے موسم میں مکئی کے کھیتوں میں ہمیشہ کچھ زنگ آلود پسول ہمیشہ پائے جاتے ہیں ، لیکن عام طور پر ٹاسیلنگ کے بعد تک علامات ظاہر نہیں ہوتے ہیں۔ان کو آسانی سے پہچانا جاسکتا ہے اور دوسری بیماریوں سے ممتاز کیا جاسکتا ہے جو مکئی کے پتوں کی اوپری اور نچلی سطحوں پر بکھرے ہوئے ، سرخ ، سرخ بھوری بہاؤ پسول (uredinia) کی نشوونما سے ہے۔یہ پسول پودوں کے کسی بھی اوپر والے حصے پر ظاہر ہوسکتے ہیں ، لیکن پتیوں پر سب سے زیادہ وافر ہیں۔پستولز شکل میں لمبا ہونے کے لئے انڈاکار دکھائی دیتے ہیں ، عام طور پر چھوٹے ہوتے ہیں ، 1/4 انچ سے کم لمبے ہوتے ہیں ، اور پتی کی ایپیڈرمل پرت سے گھرا ہوا ہوتا ہے ، جہاں اس کا ٹوٹ جاتا ہے۔,مکئی کے زنگ کے واقعات کو کم کرنے کے لئے ، صرف مکئی کا پودا جس میں فنگس کے خلاف مزاحمت ہو۔مزاحمت یا تو نسل سے متعلق مزاحمت یا جزوی زنگ مزاحمت کی شکل میں ہے۔دونوں ہی صورتوں میں ، کوئی میٹھی مکئی مکمل طور پر مزاحم نہیں ہے۔اگر مکئی انفیکشن کی علامات ظاہر کرنا شروع کردیتا ہے تو ، فوری طور پر فنگسائڈ کے ساتھ اسپرے کریں۔,https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
